q,A,B,C,D,ans,sub
मानव शरीर में रक्त का आयतन (Volume) लगभग कितना होता है?,2-3 लीटर,3-4 लीटर,5-6 लीटर,8-10 लीटर,C,Science GK
ऑप्टिकल फाइबर (Optical Fibre) किस सिद्धांत पर कार्य करता है?,अपवर्तन,प्रकीर्णन,पूर्ण आंतरिक परावर्तन (Total Internal Reflection),परावर्तन,C,Science GK
समुद्र की गहराई मापने वाले यंत्र को क्या कहते हैं?,बैरोमीटर,हाइग्रोमीटर,फैदोमीटर (Fathometer),अल्टीमीटर,C,Science GK
विमानों की ऊँचाई मापने के लिए किस यंत्र का प्रयोग किया जाता है?,फैदोमीटर,अल्टीमीटर (Altimeter),बैरोमीटर,पायरोमीटर,B,Science GK
पृथ्वी के लिए पलायन वेग (Escape Velocity) का मान कितना है?,9.8 km/s,11.2 km/s,15.0 km/s,7.9 km/s,B,Science GK
चाँद पर गुरुत्वाकर्षण पृथ्वी के गुरुत्वाकर्षण का कितना भाग है?,1/4,1/5,1/6,1/10,C,Science GK
सूर्य का ताप (Temperature) किस यंत्र से मापा जाता है?,थर्मामीटर,पायरोमीटर (Pyrometer),लैक्टोमीटर,बैरोमीटर,B,Science GK
रेडार (RADAR) का आविष्कार किसने किया?,रॉबर्ट वाटसन वाट,फ्लेमिंग,बुशवैल,न्यूटन,A,Science GK
पानी के अंदर ध्वनि सुनने वाला यंत्र क्या कहलाता है?,ऑडियोमीटर,हाइड्रोफोन,मेगाफोन,सोनार,B,Science GK
विद्युत मोटर (Electric Motor) किस ऊर्जा को किसमें बदलती है?,विद्युत को प्रकाश में,विद्युत ऊर्जा को यांत्रिक ऊर्जा में,यांत्रिक को विद्युत में,ऊष्मा को यांत्रिक में,B,Science GK
वायु की आर्द्रता (Humidity) मापने का यंत्र कौन सा है?,हाइड्रोमीटर,हाइग्रोमीटर (Hygrometer),लैक्टोमीटर,बैरोमीटर,B,Science GK
दूध का घनत्व (Purity of Milk) किस यंत्र से मापा जाता है?,लैक्टोमीटर,हाइड्रोमीटर,बैरोमीटर,गैल्वेनोमीटर,A,Science GK
कैमरे में किस प्रकार का लेंस उपयोग किया जाता है?,उत्तल लेंस (Convex),अवतल लेंस (Concave),बेलनाकार लेंस,समतल दर्पण,A,Science GK
मानव नेत्र की रेटिना पर बनने वाला प्रतिबिंब कैसा होता है?,वास्तविक और सीधा,वास्तविक और उल्टा (Real & Inverted),काल्पनिक और सीधा,काल्पनिक और उल्टा,B,Science GK
प्रकाश के किस रंग का तरंगदैर्घ्य (Wavelength) सबसे अधिक होता है?,बैंगनी,हरा,लाल (Red),नीला,C,Science GK
प्रकाश के किस रंग का तरंगदैर्घ्य (Wavelength) सबसे कम होता है?,लाल,पीला,बैंगनी (Violet),नीला,C,Science GK
तारों का रंग किस बात का सूचक है?,उनके तापमान का,उनकी दूरी का,उनके द्रव्यमान का,उनकी गति का,A,Science GK
एकमात्र अधातु (Non-Metal) जो कमरे के तापमान पर द्रव (Liquid) अवस्था में रहती है?,पारा,ब्रोमीन (Bromine),गैलियम,आयोडीन,B,Science GK
एकमात्र धातु (Metal) जो कमरे के तापमान पर द्रव (Liquid) अवस्था में रहती है?,सोडियम,ब्रोमीन,पारा (Mercury),लिथियम,C,Science GK
सबसे अधिक विद्युत ऋणात्मक (Electronegative) तत्व कौन सा है?,ऑक्सीजन,क्लोरीन,फ्लोरीन (Fluorine),नाइट्रोजन,C,Science GK
ओजोन परत की मोटाई मापने की इकाई क्या है?,लक्स,डॉबसन (Dobson),पास्कल,डेसिबल,B,Science GK
अम्ल वर्षा (Acid Rain) के लिए कौन सी गैसें मुख्य रूप से उत्तरदायी हैं?,CO2 और CO,SO2 और NO2 (सल्फर और नाइट्रोजन के ऑक्साइड),O3 और CFC,CH4 और NH3,B,Science GK
ग्रीनहाउस प्रभाव (Greenhouse Effect) के लिए मुख्य रूप से उत्तरदायी गैस कौन सी है?,ऑक्सीजन,कार्बन डाइऑक्साइड (CO2),नाइटrogen,सल्फर डाइऑक्साइड,B,Science GK
आंसू गैस (Tear Gas) का रासायनिक नाम क्या है?,क्लोरोपिक्रिन (Chloropicrin),नाइट्रस ऑक्साइड,अमोनिया,हाइड्रोजन सल्फाइड,A,Science GK
कार की बैटरी (Lead-Acid Battery) में किस अम्ल का प्रयोग किया जाता है?,हाइड्रोक्लोरिक अम्ल,सल्फ्यूरिक अम्ल (H2SO4),नाइट्रिक अम्ल,एसिटिक अम्ल,B,Science GK
लोहे का सबसे शुद्ध रूप कौन सा है?,ढलवाँ लोहा (Cast Iron),पिटवाँ लोहा (Wrought Iron),इस्पात (Steel),कच्चा लोहा,B,Science GK
सीएनजी (CNG) का मुख्य घटक क्या है?,प्रोपेन,ब्यूटेन,मीथेन (Methane),इथेन,C,Science GK
एलपीजी (LPG) का मुख्य घटक क्या है?,मीथेन,इथेन,ब्यूटेन (Butane),हीलियम,C,Science GK
पॉलीथीन (Polythene) किसका बहुलक (Polymer) है?,इथाइलीन (Ethylene),प्रोपीलीन,एसिटिलीन,विनाइल क्लोराइड,A,Science GK
प्याज और लहसुन में विशेष गंध किसके कारण होती है?,सोडियम,पोटेशियम (तथा सल्फर यौगिक),कैल्शियम,क्लोरीन,B,Science GK
फोटोग्राफी में 'फिक्सर' के रूप में किसका उपयोग होता है?,सोडियम थायोसल्फेट,सिल्वर ब्रोमाइड,सिल्वर नाइट्रेट,अमोनियम क्लोराइड,A,Science GK
हड्डियों और दाँतों में मुख्य रूप से कौन सा तत्व पाया जाता है?,कैल्शियम और फास्फोरस,सोडियम और पोटेशियम,आयरन और जिंक,मैग्नीशियम और क्लोरीन,A,Science GK
