q,A,B,C,D,ans,sub
राष्ट्रीय आपातकाल की घोषणा किस अनुच्छेद के तहत होती है?,अनुच्छेद 352,अनुच्छेद 356,अनुच्छेद 360,अनुच्छेद 368,A,Polity
राज्यों में राष्ट्रपति शासन किस अनुच्छेद के तहत लगता है?,अनुच्छेद 352,अनुच्छेद 356,अनुच्छेद 360,अनुच्छेद 350,B,Polity
अब तक भारत में कितनी बार वित्तीय आपातकाल लगा है?,एक बार,दो बार,तीन बार,कभी नहीं,D,Polity
संविधान संशोधन की प्रक्रिया किस अनुच्छेद में है?,अनुच्छेद 352,अनुच्छेद 360,अनुच्छेद 368,अनुच्छेद 370,C,Polity
प्रथम संविधान संशोधन कब हुआ था?,1950,1951,1952,1955,B,Polity
किस संशोधन को 'लघु संविधान' (Mini Constitution) कहा जाता है?,7वां,24वां,42वां,44वां,C,Polity
दलबदल विरोधी कानून किस अनुसूची में है?,8वीं,9वीं,10वीं,11वीं,C,Polity
भारतीय संविधान में मूलतः कितनी भाषाएं थीं?,14,18,22,24,A,Polity
वर्तमान में 8वीं अनुसूची में कितनी भाषाएं हैं?,14,18,22,25,C,Polity
भारत का राष्ट्रीय चिन्ह कहाँ से लिया गया है?,सांची का स्तूप,सारनाथ का अशोक स्तंभ,मथुरा का स्तंभ,इलाहाबाद स्तंभ,B,Polity
राष्ट्रगान 'जन-गण-मन' को कब स्वीकार किया गया?,15 अगस्त 1947,26 जनवरी 1950,24 जनवरी 1950,26 नवंबर 1949,C,Polity
राष्ट्रगीत 'वंदे मातरम' के रचयिता कौन हैं?,टैगोर,बंकिम चंद्र चटर्जी,सरोजिनी नायडू,गांधी,B,Polity
संविधान सभा का संवैधानिक सलाहकार कौन था?,बी.आर. अंबेडकर,के.एम. मुंशी,बी.एन. राव,राजेंद्र प्रसाद,C,Polity
"भारत एक 'गणतंत्र' है, इसका क्या अर्थ है?",जनता का शासन,संसदीय शासन,वंशानुगत शासन नहीं,राज्यों का संघ,C,Polity
शक्तियों का विभाजन किस अनुसूची में है?,5वीं,6वीं,7वीं,8वीं,C,Polity
शिक्षा किस सूची का विषय है?,संघ सूची,राज्य सूची,समवर्ती सूची,अवशिष्ट शक्ति,C,Polity
लोकसभा के प्रथम उपाध्यक्ष कौन थे?,हुकुम सिंह,एम.ए. आयंगर,जी.एस. ढिल्लों,पी.ए. संगमा,B,Polity
स्वतंत्र भारत के प्रथम कानून मंत्री कौन थे?,नेहरू,अंबेडकर,पटेल,आजाद,B,Polity
संविधान की प्रस्तावना में 'समाजवादी' शब्द कब जोड़ा गया?,1951,1976,1978,1950,B,Polity
राज्य पुनर्गठन आयोग के अध्यक्ष कौन थे?,फजल अली,हृदयनाथ कुंजरू,के.एम. पणिक्कर,वल्लभभाई पटेल,A,Polity
भाषाई आधार पर गठित प्रथम राज्य कौन सा है?,तमिलनाडु,केरल,आंध्र प्रदेश,तेलंगाना,C,Polity
संसद के संयुक्त अधिवेशन की अध्यक्षता कौन करता है?,राष्ट्रपति,उपराष्ट्रपति,प्रधानमंत्री,लोकसभा अध्यक्ष,D,Polity
अविश्वास प्रस्ताव किस सदन में लाया जाता है?,लोकसभा,राज्यसभा,किसी भी सदन में,विधान परिषद,A,Polity
कैबिनेट मिशन भारत कब आया था?,1942,1945,1946,1947,C,Polity
प्रथम आम चुनाव कब हुए थे?,1950,1951-52,1952-53,1947,B,Polity
संविधान सभा में उद्देश्य प्रस्ताव किसने पेश किया था?,नेहरू,गांधी,अंबेडकर,पटेल,A,Polity
नीति आयोग कब स्थापित हुआ?,1 जनवरी 2014,1 जनवरी 2015,15 अगस्त 2014,26 जनवरी 2015,B,Polity
कैग (CAG) का कार्यकाल कितना होता है?,5 वर्ष,6 वर्ष या 65 की आयु,5 वर्ष या 62 की आयु,4 वर्ष,B,Polity
सूचना का अधिकार (RTI) अधिनियम कब लागू हुआ?,2004,2005,2006,2008,B,Polity
संविधान सभा के स्थायी अध्यक्ष कौन थे?,अंबेडकर,नेहरू,राजेंद्र प्रसाद,सच्चिदानंद सिन्हा,C,Polity
भारत की पहली महिला राष्ट्रपति कौन थी?,इंदिरा गांधी,प्रतिभा पाटिल,द्रौपदी मुर्मू,सरोजिनी नायडू,B,Polity
किस राज्य में सबसे पहले राष्ट्रपति शासन लगा था?,यूपी,पंजाब,केरल,बिहार,B,Polity
भारतीय संविधान में कितनी सूचियां हैं?,1,2,3,4,C,Polity
जीएसटी (GST) किस संशोधन द्वारा लागू हुआ?,100वां,101वां,102वां,103वां,B,Polity
पंचायती राज दिवस कब मनाया जाता है?,24 अप्रैल,2 अक्टूबर,26 जनवरी,15 अगस्त,A,Polity
लोकपाल बिल पारित करने वाला पहला राज्य?,महाराष्ट्र,ओडिशा,बिहार,केरल,B,Polity
स्वतंत्र भारत के प्रथम गृह मंत्री कौन थे?,पटेल,नेहरू,शास्त्री,आजाद,A,Polity
राज्यसभा में अधिकतम सीटों की संख्या?,245,250,252,260,B,Polity
विधान परिषद का सदस्य बनने हेतु न्यूनतम आयु?,25 वर्ष,30 वर्ष,35 वर्ष,21 वर्ष,B,Polity
किस अनुच्छेद में 'भारत' को राज्यों का संघ कहा गया है?,अनुच्छेद 1,अनुच्छेद 2,अनुच्छेद 3,अनुच्छेद 4,A,Polity
प्रेस की स्वतंत्रता किस अनुच्छेद में निहित है?,अनुच्छेद 19(1)a,अनुच्छेद 20,अनुच्छेद 21,अनुच्छेद 22,A,Polity
संविधान के किस संशोधन द्वारा दिल्ली को NCR बनाया गया?,61वां,69वां,73वां,42वां,B,Polity
लोकसभा सदस्य का कार्यकाल कितना होता है?,4 वर्ष,5 वर्ष,6 वर्ष,स्थायी,B,Polity
भारत की आकस्मिकता निधि (Contingency Fund) किस अनुच्छेद में है?,अनुच्छेद 266,अनुच्छेद 267,अनुच्छेद 280,अनुच्छेद 300,B,Polity
राष्ट्रीय ध्वज की लंबाई-चौड़ाई का अनुपात क्या है?,2:3,3:2,1:2,4:3,B,Polity
विधानसभा सदस्य (MLA) बनने हेतु न्यूनतम आयु?,21 वर्ष,25 वर्ष,30 वर्ष,35 वर्ष,B,Polity
