q,A,B,C,D,ans,sub
कास्टिक पोटाश (Caustic Potash) का रासायनिक नाम क्या है?,पोटेशियम हाइड्रॉक्साइड (KOH),पोटेशियम परमैंगनेट,पोटेशियम नाइट्रेट,पोटेशियम सल्फेट,A,Science GK
ब्लीचिंग पाउडर (विरंजक चूर्ण) का रासायनिक सूत्र क्या है?,CaCO3,CaOCl2,Ca(OH)2,CaCl2,B,Science GK
बुझा हुआ चूना (Slaked Lime) का रासायनिक सूत्र क्या है?,CaO,CaCO3,Ca(OH)2,CaCl2,C,Science GK
बिना बुझा हुआ चूना (Quick Lime) का सूत्र क्या है?,Ca(OH)2,CaO,CaCO3,CaCl2,B,Science GK
जिप्सम (Gypsum) का रासायनिक सूत्र क्या है?,CaSO4.1/2H2O,CaSO4.2H2O,CuSO4.5H2O,Na2CO3.10H2O,B,Science GK
सफेद कसीस (White Vitriol) किसे कहते हैं?,जिंक सल्फेट (ZnSO4),कॉपर सल्फेट,आयरन सल्फेट,मैग्नीशियम सल्फेट,A,Science GK
हरा कसीस (Green Vitriol) किसे कहते हैं?,कॉपर सल्फेट,जिंक सल्फेट,फेरस सल्फेट (FeSO4),सोडियम सल्फेट,C,Science GK
'भविष्य का ईंधन' (Fuel of Future) किसे कहा जाता है?,यूरेनियम,मीथेन,हाइड्रोजन,सौर ऊर्जा,C,Science GK
मार्स गैस (Marsh Gas) का रासायनिक सूत्र क्या है?,C2H6,CH4 (मीथेन),CO2,N2O,B,Science GK
रबर को कठोर बनाने के लिए उसमें क्या मिलाया जाता है?,कार्बन,सल्फर (Sulfur),फास्फोरस,लोहा,B,Science GK
विटामिन D का रासायनिक नाम क्या है?,रेटिनॉल,कैल्सीफेरोल,टोकोफेरोल,एस्कॉर्बिक एसिड,B,Science GK
विटामिन E का रासायनिक नाम क्या है?,कैल्सीफेरोल,फिलोक्विनोन,टोकोफेरोल,थायमिन,C,Science GK
विटामिन K का रासायनिक नाम क्या है?,फिलोक्विनोन (Phylloquinone),टोकोफेरोल,रेटिनॉल,कैल्सीफेरोल,A,Science GK
जल में घुलनशील (Water Soluble) विटामिन कौन से हैं?,"विटामिन A, D","विटामिन E, K","विटामिन B, C",केवल विटामिन A,C,Science GK
वसा में घुलनशील (Fat Soluble) विटामिन कौन से हैं?,"विटामिन B, C","विटामिन A, D, E, K",केवल विटामिन C,केवल विटामिन D,B,Science GK
एलिसा टेस्ट (ELISA Test) किस बीमारी की जाँच के लिए किया जाता है?,टीबी,कैंसर,एड्स (AIDS),टाइफाइड,C,Science GK
विडाल टेस्ट (Widal Test) किस बीमारी की जाँच के लिए होता है?,मलेरिया,टाइफाइड,डेंगू,हैजा,B,Science GK
हीमोफीलिया (Hemophilia) एक कैसा रोग है?,विषाणुजनित रोग,जीवाणुजनित रोग,आनुवंशिक रोग (Genetic),कवक रोग,C,Science GK
वर्णांधता (Color Blindness) वाले व्यक्ति को किन रंगों की पहचान नहीं होती?,लाल और हरा,नीला और हरा,लाल और पीला,काला और सफेद,A,Science GK
ग्लूकोमा (Glaucoma) और ट्रेकोमा (Trachoma) किस अंग की बीमारी है?,कान,गला,आँख,यकृत,C,Science GK
निमोनिया (Pneumonia) से शरीर का कौन सा अंग प्रभावित होता है?,हृदय,यकृत,फेफड़े (Lungs),आंत,C,Science GK
मेनिनजाइटिस (Meningitis) बीमारी शरीर के किस अंग को प्रभावित करती है?,यकृत,गुर्दा,मस्तिष्क (Brain),हृदय,C,Science GK
'लॉक जॉ' (Lock-jaw) किस बीमारी का दूसरा नाम है?,टीबी,टिटनेस (Tetanus),कुष्ठ रोग,पोलियो,B,Science GK
 बीसीजी (BCG) का टीका किस बीमारी से बचाव के लिए लगाया जाता है?,पोलियो,खसरा,टीबी (Tuberculosis),चेचक,C,Science GK
डीपीटी (DPT) का टीका किन बीमारियों से बचाव करता है?,"डिप्थीरिया, काली खांसी, टिटनेस","डेंगू, पोलियो, टीबी","डिप्थीरिया, पोलियो, टाइफाइड",इनमें से कोई नहीं,A,Science GK
कैंसर के उपचार में किस समस्थानिक (Isotope) का प्रयोग किया जाता है?,आयोडीन-131,कोबाल्ट-60 (Cobalt-60),कार्बन-14,यूरेनियम-235,B,Science GK
ओजोन परत (Ozone Layer) वायुमंडल के किस मंडल में पाई जाती है?,क्षोभ मंडल,समताप मंडल (Stratosphere),आयन मंडल,बाह्य मंडल,B,Science GK
भूकंपीय तरंगें (Seismic Waves) किस प्रकार की तरंगें हैं?,विद्युत चुंबकीय,यांत्रिक (Mechanical),स्थिर,कोई नहीं,B,Science GK
सूर्य से आने वाली पराबैंगनी किरणों (UV Rays) को कौन रोकता है?,नाइट्रोजन,ओजोन परत (Ozone Layer),ऑक्सीजन,कार्बन डाइऑक्साइड,B,Science GK
भारत का प्रथम परमाणु परीक्षण (Nuclear Test) कहाँ हुआ था?,श्रीहरिकोटा,चांदीपुर,पोखरण (राजस्थान),कलाम द्वीप,C,Science GK
पोखरण में प्रथम परमाणु परीक्षण कब हुआ था?,1971,1974 (स्माइलिंग बुद्धा),1998,1999,B,Science GK
इसरो (ISRO) द्वारा चंद्रयान-3 कब लॉन्च किया गया था?,14 जुलाई 2023,23 अगस्त 2023,1 जनवरी 2024,15 अगस्त 2023,A,Science GK
चंद्रयान-3 चंद्रमा के दक्षिणी ध्रुव पर कब उतरा था?,14 जुलाई 2023,23 अगस्त 2023 (National Space Day),15 अगस्त 2023,26 जनवरी 2024,B,Science GK
भारत का पहला स्वदेशी विमानवाहक पोत (Aircraft Carrier) कौन सा है?,INS विक्रमादित्य,INS विक्रांत,INS विराट,INS चक्र,B,Science GK
