q,A,B,C,D,ans,sub
विश्व की सबसे लंबी नदी कौन सी है?,गंगा,अमेज़न,नील (Nile),ब्रह्मपुत्र,C,Geography
पृथ्वी के सबसे नजदीक कौन सा ग्रह है?,बुध (Mercury),शुक्र (Venus),मंगल (Mars),बृहस्पति,B,Geography
लाल ग्रह (Red Planet) किसे कहा जाता है?,शुक्र,मंगल,शनि,वरुण,B,Geography
भारत की मानक समय रेखा कहाँ से गुजरती है?,दिल्ली,प्रयागराज (मिर्जापुर),पटना,जयपुर,B,Geography
कर्क रेखा (Tropic of Cancer) भारत के कितने राज्यों से होकर गुजरती है?,5,6,7,8,D,Geography
सुंदरवन डेल्टा कौन सी नदियाँ बनाती हैं?,गंगा और यमुना,गंगा और ब्रह्मपुत्र,कृष्णा और कावेरी,सिंधु और सतलुज,B,Geography
माउंट एवरेस्ट किस देश में स्थित है?,भारत,नेपाल,चीन,भूटान,B,Geography
चिल्का झील (Chilka Lake) किस राज्य में है?,ओडिशा,आंध्र प्रदेश,केरल,तमिलनाडु,A,Geography
सौरमंडल का सबसे बड़ा ग्रह कौन सा है?,पृथ्वी,मंगल,बृहस्पति (Jupiter),शनि,C,Geography
भारत का सबसे दक्षिणी बिंदु (Southernmost point) कौन सा है?,कन्याकुमारी,इंदिरा पॉइंट,पोर्ट ब्लेयर,रामेश्वरम,B,Geography
विश्व का सबसे बड़ा महासागर कौन सा है?,हिंद महासागर,अटलांटिक महासागर,प्रशांत महासागर,आर्कटिक महासागर,C,Geography
काजीरंगा राष्ट्रीय उद्यान किसके लिए प्रसिद्ध है?,शेर,एक सींग वाला गैंडा,बाघ,हाथी,B,Geography
भारत में सबसे अधिक वर्षा कहाँ होती है?,चेरापूंजी,मासिनराम,अगुम्बे,मुंबई,B,Geography
मानव शरीर की सबसे बड़ी ग्रंथि (Gland) कौन सी है?,अग्न्याशय (Pancreas),यकृत (Liver),थायराइड,पीयूष ग्रंथि,B,Science
कोशिका का 'पावर हाउस' (Powerhouse of Cell) किसे कहा जाता है?,नाभिक (Nucleus),माइटोकॉन्ड्रिया,राइबोसोम,लाइसोसोम,B,Science
मनुष्य के हृदय में कितने कक्ष (Chambers) होते हैं?,2,3,4,5,C,Science
रक्त का pH मान कितना होता है?,6.4,7.4,8.4,5.4,B,Science
लाल रक्त कणिकाओं (RBC) का जीवनकाल कितना होता है?,100 दिन,120 दिन,150 दिन,80 दिन,B,Science
सर्वदाता रक्त समूह (Universal Donor) कौन सा है?,A,B,AB,O,D,Science
इंसुलिन की कमी से कौन सा रोग होता है?,मलेरिया,मधुमेह (Diabetes),कैंसर,टीबी,B,Science
मानव शरीर में कुल कितनी हड्डियाँ होती हैं?,204,206,208,210,B,Science
विटामिन C की कमी से कौन सा रोग होता है?,रतौंधी,बेरी-बेरी,स्कर्वी,रिकेट्स,C,Science
मलेरिया रोग किस मच्छर के काटने से होता है?,मादा एनाफिलीज,एडीज,क्यूलेक्स,नर एनाफिलीज,A,Science
पेनिसिलिन की खोज किसने की थी?,न्यूटन,अलेक्जेंडर फ्लेमिंग,लुई पाश्चर,एडवर्ड जेनर,B,Science
डीएनए (DNA) का डबल हेलिक्स मॉडल किसने दिया?,मेंडल,वाटसन और क्रिक,डार्विन,लैमार्क,B,Science
मनुष्य में गुणसूत्रों (Chromosomes) की संख्या कितनी होती है?,42,44,46,48,C,Science
दूध की शुद्धता किस यंत्र से मापी जाती है?,बैरोमीटर,थर्मामीटर,लैक्टोमीटर,हाइग्रोमीटर,C,Science
सबसे बड़ा स्तनधारी (Mammal) जीव कौन सा है?,हाथी,नीली व्हेल (Blue Whale),जिराफ,ऊंट,B,Science
भारत का राष्ट्रीय पक्षी क्या है?,तोता,मोर,कबूतर,चील,B,GK
इसरो (ISRO) का मुख्यालय कहाँ स्थित है?,मुंबई,बेंगलुरु,नई दिल्ली,चेन्नई,B,GK
नोबेल पुरस्कार किस देश द्वारा दिया जाता है?,अमेरिका,स्वीडन,रूस,फ्रांस,B,GK
कंप्यूटर का मस्तिष्क (Brain) किसे कहा जाता है?,मॉनिटर,कीबोर्ड,सी.पी.यू. (CPU),माउस,C,GK
भारत के प्रथम प्रधानमंत्री कौन थे?,डॉ. राजेंद्र प्रसाद,महात्मा गांधी,जवाहरलाल नेहरू,सरदार पटेल,C,GK
'वंदे मातरम' की रचना किसने की थी?,रवींद्रनाथ टैगोर,बंकिम चंद्र चटर्जी,सरोजिनी नायडू,महात्मा गांधी,B,GK
गेटवे ऑफ इंडिया कहाँ स्थित है?,दिल्ली,मुंबई,कोलकाता,चेन्नई,B,GK
भारत का सर्वोच्च नागरिक सम्मान कौन सा है?,पद्म विभूषण,भारत रत्न,परमवीर चक्र,अशोक चक्र,B,GK
गुलाबी शहर (Pink City) किसे कहा जाता है?,उदयपुर,जोधपुर,जयपुर,अजमेर,C,GK
शिक्षक दिवस (Teachers' Day) कब मनाया जाता है?,5 सितंबर,2 अक्टूबर,14 नवंबर,15 अगस्त,A,GK
