q,A,B,C,D,ans,sub
India ka sabse bada state (Area)?,UP,Rajasthan,MP,Gujarat,B,Geography
Kaziranga kiske liye famous hai?,Lion,Rhino,Tiger,Elephant,B,Geography
White Continent kise kehte hain?,Asia,Africa,Antarctica,Europe,C,Geography
Sun ke sabse paas wala planet?,Venus,Mars,Mercury,Earth,C,Geography
Red Planet kise kehte hain?,Venus,Mars,Jupiter,Saturn,B,Geography
Tea production me No.1 state?,Assam,Kerala,WB,Tamil Nadu,A,Geography
India ki Standard Time line kahan se guzarti hai?,Delhi,Mirzapur,Patna,Jaipur,B,Geography
Andaman & Nicobar ki capital?,Port Blair,Kavaratti,Silvassa,Panaji,A,Geography
Sabse zyada rainfall kahan hoti hai?,Cherrapunji,Mawsynram,Agumbe,Mumbai,B,Geography
Sundarban Delta kaun si nadia banati hain?,Ganga-Yamuna,Ganga-Brahmaputra,Krishna-Kaveri,None,B,Geography
Sahara Desert kahan hai?,Asia,Africa,USA,Australia,B,Geography
India ka sabse chota state?,Sikkim,Goa,Tripura,Mizoram,B,Geography
Sardar Sarovar Dam kis nadi par hai?,Ganga,Narmada,Tapti,Godavari,B,Geography
Equator kitni degrees par hai?,0,23.5,66.5,90,A,Geography
Chilka Lake kis state me hai?,Odisha,AP,Kerala,TN,A,Geography
Bhopal Gas Tragedy kab hui?,1980,1984,1990,1975,B,Geography
Silent Valley kahan hai?,Karnataka,Kerala,AP,Tamil Nadu,B,Geography
Vasco da Gama India kab aaya?,1492,1498,1500,1450,B,History
Panipat ki pehli ladai?,1526,1556,1761,1191,A,History
First War of Independence?,1857,1947,1919,1942,A,History
Gandhi ji ne Dandi March kab shuru kiya?,1920,1930,1940,1942,B,History
Jallianwala Bagh hatyakand kab hua?,1915,1919,1920,1922,B,History
Harappa ki khoj kisne ki?,RD Banerji,Daya Ram Sahni,John Marshall,None,B,History
Arya Samaj kisne banaya?,Vivekananda,Dayanand Saraswati,Raja Ram Mohan Roy,None,B,History
Quit India Movement kab shuru hua?,1940,1942,1945,1947,B,History
Mughal Empire ka founder?,Akbar,Babur,Humayun,Sher Shah,B,History
Din-e-Illahi kisne shuru kiya?,Akbar,Babur,Jahangir,Aurangzeb,A,History
Hawa Mahal kahan hai?,Delhi,Jaipur,Agra,Udaipur,B,History
Gautam Buddha ka janm?,Lumbini,Sarnath,Bodh Gaya,Kushinagar,A,History
Azad Hind Fauj kisne banayi?,Gandhiji,Subhash Chandra Bose,Nehru,Bhagat Singh,B,History
Battle of Plassey?,1757,1764,1857,1526,A,History
Sanchi Stupa kisne banwaya?,Akbar,Ashoka,Chandragupta,Bindusara,B,History
Chanakya kiska advisor tha?,Ashoka,Chandragupta Maurya,Akbar,Babar,B,History
Agra kila kisne banwaya?,Shahjahan,Akbar,Babar,Aurangzeb,B,History
Indian National Congress kab bani?,1885,1905,1920,1947,A,History
Vande Mataram kisne likha?,Tagore,Bankim Chandra Chattopadhyay,Nehru,Gandhi,B,History
Swaraj mera janmasiddha adhikar hai?,Tilak,Lajpat Rai,Nehru,Bhagat Singh,A,History
ISRO ka HQ kahan hai?,Mumbai,Bangalore,Delhi,Chennai,B,GK
Bhabha Atomic Research Centre kahan hai?,Trombay,Chennai,Kolkata,Delhi,A,GK
Nobel Prize kis desh me diya jata hai?,USA,Sweden,UK,France,B,GK
National Bird of India?,Parrot,Peacock,Eagle,Sparrow,B,GK
Cricket World Cup 2023 winner?,India,Australia,South Africa,England,B,GK
Reserve Bank of India kab bana?,1935,1947,1950,1960,A,GK
Gateway of India kahan hai?,Delhi,Mumbai,Kolkata,Chennai,B,GK
Bharat Ratna sabse pehle kise mila?,Nehru,Radhakrishnan,Gandhi,CV Raman,B,GK
Sabse bada planet?,Earth,Jupiter,Mars,Saturn,B,GK
UNESCO ka HQ kahan hai?,New York,Paris,London,Geneva,B,GK
Computers ka brain kise kehte hain?,RAM,CPU,Motherboard,Hard Disk,B,GK
National anthem 'Jana Gana Mana' kisne likha?,Tagore,Bankim Chandra,Nehru,Sarojini Naidu,A,GK
Pink City kise kehte hain?,Udaipur,Jaipur,Jodhpur,Ajmer,B,GK
Silicon Valley of India?,Hyderabad,Bangalore,Pune,Gurgaon,B,GK
Bihu kis state ka festival hai?,Odisha,Assam,Bihar,WB,B,GK
Kathakali kahan ka dance hai?,TN,Kerala,UP,MP,B,GK
Duniya ki sabse oonchi statue?,Liberty,Unity,Buddha,Christ,B,GK
WHO ka HQ kahan hai?,Paris,Geneva,New York,Rome,B,GK
IPL 2024 winner team?,CSK,KKR,RCB,MI,B,GK
G-20 summit 2023 kahan hui?,USA,India,China,Brazil,B,GK
