q,A,B,C,D,ans,sub
इलेक्ट्रोएन्सेफेलोग्राफ (EEG) का प्रयोग किसकी जाँच के लिए होता है?,मस्तिष्क,हृदय,फेफड़े,आंत,A,Science GK
टेलीफोन का आविष्कार किसने किया?,थॉमस एडिसन,अलेक्जेंडर ग्राहम बेल,मारकोनी,गैलीलियो,B,Science GK
रेडियो का आविष्कार किसने किया?,मारकोनी,ग्राहम बेल,एडिसन,जे.एल. बेयर्ड,A,Science GK
टेलीविजन (TV) का आविष्कार किसने किया?,मारकोनी,गैलीलियो,जे.एल. बेयर्ड (J.L. Baird),न्यूटन,C,Science GK
कंप्यूटर का जनक किसे कहा जाता है?,बिल गेट्स,स्टीव जॉब्स,चार्ल्स बैबेज,एलन ट्यूरिंग,C,Science GK
बल्ब का आविष्कार किसने किया?,थॉमस अल्वा एडिसन,निकोला टेस्ला,गैलीलियो,न्यूटन,A,Science GK
हवाई जहाज का आविष्कार किसने किया?,मारकोनी,राइट ब्रदर्स,ग्राहम बेल,एडिसन,B,Science GK
डायनामाइट का आविष्कार किसने किया?,अल्फ्रेड नोबेल,न्यूटन,आइंस्टीन,रदरफोर्ड,A,Science GK
दूरबीन (Telescope) का आविष्कार किसने किया?,केप्लर,कोपरनिकस,गैलीलियो,न्यूटन,C,Science GK
सौरमंडल (Solar System) की खोज किसने की?,गैलीलियो,कोपरनिकस,केप्लर,न्यूटन,B,Science GK
ग्रहों की गति के नियम किसने दिए?,कोपरनिकस,गैलीलियो,केप्लर,न्यूटन,C,Science GK
बैरोमीटर (Barometer) का आविष्कार किसने किया?,टॉरसेली (Torricelli),पास्कल,न्यूटन,केल्विन,A,Science GK
भाप के इंजन (Steam Engine) का आविष्कार किसने किया?,जेम्स वाट,जॉर्ज स्टीफेंसन,रुडोल्फ डीजल,माइकल फैराडे,A,Science GK
विद्युत चुम्बकीय प्रेरण (Electromagnetic Induction) की खोज किसने की?,निकोला टेस्ला,माइकल फैराडे,थॉमस एडिसन,मैक्सवेल,B,Science GK
लेजर (LASER) का आविष्कार किसने किया?,थियोडोर मेमन,चार्ल्स टाउन्स,अल्बर्ट आइंस्टीन,रॉन्टजन,A,Science GK
मोबाइल फोन का आविष्कार किसने किया?,मार्टिन कूपर,ग्राहम बेल,स्टीव जॉब्स,बिल गेट्स,A,Science GK
ध्वनि की गति अधिकतम किसमें होती है?,निर्वात (Vacuum),गैस,द्रव,ठोस (Solid),D,Science GK
प्रकाश की गति अधिकतम किसमें होती है?,निर्वात (Vacuum),पानी,कांच,हीरा,A,Science GK
सूर्य की ऊर्जा पृथ्वी तक किस विधि द्वारा पहुँचती है?,चालन (Conduction),संवहन (Convection),विकिरण (Radiation),परावर्तन,C,Science GK
तारे टिमटिमाते हुए क्यों दिखाई देते हैं?,परावर्तन के कारण,अपवर्तन (Refraction) के कारण,प्रकीर्णन के कारण,पूर्ण आंतरिक परावर्तन,B,Science GK
मृगमरीचिका (Mirage) बनने का क्या कारण है?,परावर्तन,अपवर्तन,पूर्ण आंतरिक परावर्तन (Total Internal Reflection),विवर्तन,C,Science GK
इंद्रधनुष (Rainbow) में कितने रंग होते हैं?,5,6,7,8,C,Science GK
निकट दृष्टि दोष (Myopia) को दूर करने के लिए किस लेंस का प्रयोग होता है?,उत्तल लेंस (Convex),अवतल लेंस (Concave),बेलनाकार लेंस,द्विफोकसी लेंस,B,Science GK
दूर दृष्टि दोष (Hypermetropia) को दूर करने के लिए किस लेंस का प्रयोग होता है?,अवतल लेंस,उत्तल लेंस (Convex),समतल लेंस,बेलनाकार लेंस,B,Science GK
जल (Water) का pH मान कितना होता है?,6,7,8,9,B,Science GK
नींबू के रस का pH मान लगभग कितना होता है?,2.2 - 2.4,7.0,10.5,14.0,A,Science GK
रक्त का pH मान कितना होता है?,6.4,7.4,8.4,9.4,B,Science GK
दूध का pH मान लगभग कितना होता है?,4.5,6.4,7.4,8.4,B,Science GK
आधुनिक आवर्त सारणी (Modern Periodic Table) किसने प्रस्तुत की?,मेंडलीफ,मोसले (Moseley),न्यूलैंड्स,डोबेराइनर,B,Science GK
आवर्त सारणी का पहला तत्व कौन सा है?,ऑक्सीजन,हीलियम,हाइड्रोजन,लिथियम,C,Science GK
सबसे भारी गैस कौन सी है?,हाइड्रोजन,ऑक्सीजन,रेडॉन (Radon),हीलियम,C,Science GK
विद्युत बल्ब में कौन सी गैस भरी जाती है?,ऑक्सीजन,ऑर्गन (Argon),नाइट्रोजन,कार्बन डाइऑक्साइड,B,Science GK
चिप्स के पैकेट में कौन सी गैस भरी जाती है?,ऑक्सीजन,हाइड्रोजन,नाइट्रोजन,हीलियम,C,Science GK
लाफिंग गैस (Laughing Gas) का रासायनिक सूत्र क्या है?,NO2,N2O,NO,N2O3,B,Science GK
मार्श गैस (Marsh Gas) किसे कहते हैं?,मीथेन (Methane),इथेन,प्रोपेन,ब्यूटेन,A,Science GK
एलपीजी (LPG) में गंध के लिए क्या मिलाया जाता है?,मिथाइल आइसोसाइनेट,इथाइल मरकैप्टन,सल्फर डाइऑक्साइड,हाइड्रोजन सल्फाइड,B,Science GK
गोताखोर (Divers) सांस लेने के लिए किन गैसों के मिश्रण का उपयोग करते हैं?,ऑक्सीजन और नाइट्रोजन,ऑक्सीजन और हीलियम,ऑक्सीजन और हाइड्रोजन,केवल ऑक्सीजन,B,Science GK
नीला थोथा (Blue Vitriol) का रासायनिक नाम क्या है?,कॉपर सल्फेट,सोडियम क्लोराइड,सिल्वर नाइट्रेट,कैल्शियम कार्बोनेट,A,Science GK
चूहा मारने की दवा में किसका प्रयोग किया जाता है?,जिंक फॉस्फाइड,सिल्वर आयोडाइड,सिल्वर नाइट्रेट,पोटेशियम सायनाइड,A,Science GK
फोटोग्राफी में किस रसायन का प्रयोग होता है?,सिल्वर ब्रोमाइड,सिल्वर नाइट्रेट,सिल्वर आयोडाइड,सोडियम क्लोराइड,A,Science GK
कृत्रिम वर्षा (Artificial Rain) के लिए किस रसायन का प्रयोग होता है?,सिल्वर आयोडाइड,सिल्वर ब्रोमाइड,अमोनियम नाइट्रेट,कॉपर सल्फेट,A,Science GK
मतदान के समय उंगलियों पर लगाई जाने वाली स्याही में क्या होता है?,सिल्वर ब्रोमाइड,सिल्वर नाइट्रेट (Silver Nitrate),सिल्वर आयोडाइड,सिल्वर क्लोराइड,B,Science GK
प्लास्टर ऑफ पेरिस (Plaster of Paris) किससे बनता है?,चूना पत्थर,जिप्सम (Gypsum),संगमरमर,बॉक्साइट,B,Science GK
रेडियोसक्रियता (Radioactivity) की खोज किसने की?,मैडम क्यूरी,हेनरी बेकरेल (Henri Becquerel),रदरफोर्ड,रॉन्टजन,B,Science GK
परमाणु बम किस सिद्धांत पर कार्य करता है?,नाभिकीय संलयन,नाभिकीय विखंडन (Nuclear Fission),रासायनिक अभिक्रिया,इनमें से कोई नहीं,B,Science GK
हाइड्रोजन बम किस सिद्धांत पर कार्य करता है?,नाभिकीय संलयन (Nuclear Fusion),नाभिकीय विखंडन,रेडियोधर्मी क्षय,उपरोक्त सभी,A,Science GK
