q,A,B,C,D,ans,sub
दूध में कौन सा प्रोटीन पाया जाता है?,एल्ब्यूमिन,ग्लोबुलिन,केसीन (Casein),मायोसिन,C,Science GK
आरएच फैक्टर (Rh Factor) के खोजकर्ता कौन थे?,लैंडस्टीनर और विनर,रॉबर्ट हुक,वाटसन,कार्ल लिनियस,A,Science GK
मानव शरीर की सबसे बड़ी ग्रंथि कौन सी है?,अग्न्याशय,थायराइड,यकृत (Liver),पीयूष ग्रंथि,C,Science GK
पीयूष ग्रंथि (Pituitary Gland) को और किस नाम से जाना जाता है?,मास्टर ग्रंथि,सुपर ग्रंथि,पावर ग्रंथि,कंट्रोल ग्रंथि,A,Science GK
मधुमेह (Diabetes) रोग किसकी कमी से होता है?,ग्लूकागोन,इंसुलिन,थायरोक्सिन,एड्रिनैलिन,B,Science GK
आंख के किस भाग पर वस्तु का प्रतिबिंब बनता है?,कॉर्निया,पुतली,रेटिना,आइरिस,C,Science GK
नेत्रदान में आंख का कौन सा भाग दान किया जाता है?,रेटिना,कॉर्निया,लेंस,पूरी आंख,B,Science GK
बल (Force) का SI मात्रक क्या है?,जूल,पास्कल,न्यूटन,वाट,C,Science GK
कार्य (Work) और ऊर्जा (Energy) का SI मात्रक क्या है?,न्यूटन,जूल,वाट,केल्विन,B,Science GK
ध्वनि की तीव्रता (Intensity of Sound) किसमें मापी जाती है?,डेसिबल (Decibel),हर्ट्ज़,मीटर,पास्कल,A,Science GK
प्रकाश वर्ष (Light Year) किसकी इकाई है?,समय की,दूरी की,प्रकाश की तीव्रता की,द्रव्यमान की,B,Science GK
अंतरिक्ष यात्री को आकाश कैसा दिखाई देता है?,नीला,सफेद,काला,लाल,C,Science GK
पानी का घनत्व (Density) अधिकतम किस तापमान पर होता है?,0°C,4°C,100°C,-4°C,B,Science GK
विद्युत धारा (Electric Current) को मापने का यंत्र क्या है?,वोल्टमीटर,गैल्वेनोमीटर,एमीटर (Ammeter),पोटेंशियोमीटर,C,Science GK
विद्युत प्रतिरोध (Resistance) का मात्रक क्या है?,ओम (Ohm),एम्पीयर,वोल्ट,वाट,A,Science GK
दाब (Pressure) का SI मात्रक क्या है?,जूल,न्यूटन,पास्कल (Pascal),वाट,C,Science GK
हवा में ध्वनि की गति लगभग कितनी होती है?,300 m/s,332 m/s,400 m/s,500 m/s,B,Science GK
सूर्य के प्रकाश को पृथ्वी तक पहुँचने में कितना समय लगता है?,लगभग 8 मिनट 16 सेकंड,लगभग 5 मिनट,लगभग 10 मिनट,लगभग 2 मिनट,A,Science GK
लेंस की क्षमता (Power of Lens) का मात्रक क्या है?,वाट,डायोप्टर (Diopter),जूल,लक्स,B,Science GK
गुरुत्वाकर्षण (Gravity) की खोज किसने की थी?,अल्बर्ट आइंस्टीन,गैलीलियो,आइजैक न्यूटन,एडिसन,C,Science GK
विद्युत बल्ब का फिलामेंट किसका बना होता है?,तांबा,लोहा,टंगस्टन (Tungsten),एल्युमिनियम,C,Science GK
आकाश का रंग नीला किसके कारण दिखाई देता है?,परावर्तन,अपवर्तन,प्रकीर्णन (Scattering),विवर्तन,C,Science GK
हीरा (Diamond) क्यों चमकता है?,अपवर्तन के कारण,पूर्ण आंतरिक परावर्तन के कारण,प्रकीर्णन के कारण,परावर्तन के कारण,B,Science GK
भूकंप की तीव्रता मापने वाले यंत्र को क्या कहते हैं?,बैरोमीटर,लैक्टोमीटर,सिस्मोग्राफ (Seismograph),अल्टीमीटर,C,Science GK
रॉकेट किस सिद्धांत पर कार्य करता है?,ऊर्जा संरक्षण,द्रव्यमान संरक्षण,संवेग संरक्षण (Momentum),इनमें से कोई नहीं,C,Science GK
वाशिंग मशीन किस सिद्धांत पर कार्य करती है?,अपकेंद्रण (Centrifugation),अभिकेंद्रण,परासरण,विसरण,A,Science GK
सोनार (SONAR) का उपयोग मुख्य रूप से कौन करता है?,डॉक्टर,पायलट,नाविक (नौसंचालक),इंजीनियर,C,Science GK
प्राथमिक रंग (Primary Colors) कौन से हैं?,"लाल, हरा, पीला","लाल, हरा, नीला","लाल, नीला, पीला","हरा, नीला, पीला",B,Science GK
डायनेमो (Dynamo) का क्या कार्य है?,विद्युत ऊर्जा को यांत्रिक ऊर्जा में,यांत्रिक ऊर्जा को विद्युत ऊर्जा में,ऊष्मा को विद्युत में,प्रकाश को विद्युत में,B,Science GK
रेफ्रिजरेटर में शीतलक (Coolant) के रूप में किसका उपयोग होता है?,अमोनिया,फ्रेयॉन (Freon),नाइट्रोजन,कार्बन डाइऑक्साइड,B,Science GK
वायुमंडलीय दाब (Atmospheric Pressure) किस यंत्र से मापा जाता है?,बैरोमीटर,हाइग्रोमीटर,मैनोमीटर,थर्मामीटर,A,Science GK
सापेक्षता का सिद्धांत (Theory of Relativity) किसने दिया?,न्यूटन,आइंस्टीन,रदरफोर्ड,चैडविक,B,Science GK
हाइड्रोलिक ब्रेक किस नियम पर आधारित हैं?,न्यूटन का नियम,पास्कल का नियम,आर्किमिडीज का सिद्धांत,बॉयल का नियम,B,Science GK
आवृत्ति (Frequency) का मात्रक क्या है?,मीटर,सेकंड,हर्ट्ज़ (Hertz),वाट,C,Science GK
ध्वनि तरंगें (Sound Waves) किस प्रकार की तरंगें हैं?,अनुप्रस्थ (Transverse),अनुदैर्ध्य (Longitudinal),विद्युत चुंबकीय,कोई नहीं,B,Science GK
एक्स-रे (X-Rays) की खोज किसने की थी?,मैडम क्यूरी,रॉन्टजन (Roentgen),रदरफोर्ड,न्यूटन,B,Science GK
पारा (Mercury) का हिमांक (Freezing Point) कितना होता है?,0°C,-39°C,-100°C,10°C,B,Science GK
जल का रासायनिक सूत्र (Chemical Formula) क्या है?,HO,H2O2,H2O,HO2,C,Science GK
साधारण नमक का रासायनिक नाम क्या है?,सोडियम कार्बोनेट,सोडियम बाइकार्बोनेट,सोडियम क्लोराइड (NaCl),पोटेशियम क्लोराइड,C,Science GK
हंसाने वाली गैस (Laughing Gas) किसे कहते हैं?,नाइट्रोजन ऑक्साइड,नाइट्रस ऑक्साइड (N2O),नाइट्रिक ऑक्साइड,अमोनिया,B,Science GK
सबसे हल्की गैस कौन सी है?,ऑक्सीजन,हीलियम,हाइड्रोजन,नाइट्रोजन,C,Science GK
वायुमंडल में सबसे अधिक कौन सी गैस पाई जाती है?,ऑक्सीजन,कार्बन डाइऑक्साइड,नाइट्रोजन (78%),ऑर्गन,C,Science GK
सबसे कठोर पदार्थ कौन सा है?,प्लैटिनम,लोहा,हीरा (Diamond),सोना,C,Science GK
चूने के पानी को दुधिया कौन सी गैस कर देती है?,ऑक्सीजन,कार्बन डाइऑक्साइड (CO2),नाइट्रोजन,सल्फर डाइऑक्साइड,B,Science GK
विद्युत का सबसे अच्छा सुचालक (Best Conductor) कौन सा है?,सोना,तांबा,चांदी (Silver),एल्युमिनियम,C,Science GK
पेंसिल्वेनिया या पेंसिल की लेड (Lead) किसकी बनी होती है?,कोयला,ग्रेफाइट,हीरा,सिलिकॉन,B,Science GK
शुष्क बर्फ (Dry Ice) किसे कहते हैं?,ठोस जल,ठोस कार्बन डाइऑक्साइड,ठोस ऑक्सीजन,ठोस अमोनिया,B,Science GK
माचिस की तीली में किसका उपयोग होता है?,सफेद फास्फोरस,लाल फास्फोरस,सल्फर,पोटेशियम,B,Science GK
गोबर गैस (Biogas) में मुख्य रूप से कौन सी गैस होती है?,ब्यूटेन,प्रोपेन,मीथेन (Methane),इथेन,C,Science GK
एलपीजी (LPG) में मुख्य रूप से कौन सी गैस होती है?,मीथेन और इथेन,ब्यूटेन और प्रोपेन,हाइड्रोजन,नाइट्रोजन,B,Science GK
पीतल (Brass) किन धातुओं का मिश्रण है?,तांबा और टिन,तांबा और जस्ता (Zinc),लोहा और कार्बन,सीसा और टिन,B,Science GK
कांसा (Bronze) किन धातुओं का मिश्रण है?,तांबा और जस्ता,तांबा और टिन (Tin),लोहा और टिन,एल्युमिनियम और तांबा,B,Science GK
सबसे भारी धातु कौन सी है?,सोना,प्लैटिनम,ओस्मियम (Osmium),पारा,C,Science GK
सबसे हल्की धातु कौन सी है?,सोडियम,लिथियम (Lithium),पोटेशियम,मैग्नीशियम,B,Science GK
लोहे पर जंग लगना (Rusting) कैसा परिवर्तन है?,भौतिक परिवर्तन,रासायनिक परिवर्तन,जैविक परिवर्तन,कोई नहीं,B,Science GK
अम्ल (Acid) नीले लिटमस पत्र को किस रंग में बदल देता है?,हरा,काला,लाल,पीला,C,Science GK
सिरके (Vinegar) में कौन सा अम्ल पाया जाता है?,साइट्रिक एसिड,एसिटिक एसिड,लैक्टिक एसिड,टार्टरिक एसिड,B,Science GK
नींबू और संतरे में कौन सा अम्ल पाया जाता है?,एसिटिक एसिड,साइट्रिक एसिड,ऑक्जेलिक एसिड,मैलिक एसिड,B,Science GK
दही (Curd) खट्टा किसके कारण होता है?,लैक्टिक एसिड,टार्टरिक एसिड,साइट्रिक एसिड,एसिटिक एसिड,A,Science GK
चींटी के डंक में कौन सा अम्ल होता है?,एसिटिक एसिड,फार्मिक एसिड (Formic Acid),सल्फ्यूरिक एसिड,लैक्टिक एसिड,B,Science GK
सोने (Gold) को किसमें घोला जा सकता है?,सल्फ्यूरिक एसिड,एक्वा रेजिया (अम्लराज),हाइड्रोक्लोरिक एसिड,नाइट्रिक एसिड,B,Science GK
जल की स्थायी कठोरता (Permanent Hardness) किसके कारण होती है?,कैल्शियम और मैग्नीशियम के क्लोराइड और सल्फेट,सोडियम,आयरन,पोटेशियम,A,Science GK
परमाणु के नाभिक (Nucleus) की खोज किसने की थी?,थॉमसन,रदरफोर्ड,चैडविक,बोहर,B,Science GK
इलेक्ट्रॉन की खोज किसने की थी?,जे.जे. थॉमसन,जेम्स चैडविक,रदरफोर्ड,गोल्डस्टीन,A,Science GK
प्रोटॉन की खोज किसने की थी?,चैडविक,थॉमसन,रदरफोर्ड/गोल्डस्टीन,न्यूटन,C,Science GK
न्यूट्रॉन की खोज किसने की थी?,थॉमसन,रदरफोर्ड,जेम्स चैडविक,बोहर,C,Science GK
भोपाल गैस त्रासदी में किस गैस का रिसाव हुआ था?,मिथाइल आइसोसाइनेट (MIC),कार्बन मोनोऑक्साइड,सल्फर डाइऑक्साइड,अमोनिया,A,Science GK
ओजोन परत (Ozone Layer) किस गैस से नष्ट हो रही है?,CO2,CFC (क्लोरोफ्लोरोकार्बन),SO2,मीथेन,B,Science GK
बेकिंग सोडा (खाने वाला सोडा) का रासायनिक नाम क्या है?,सोडियम कार्बोनेट,सोडियम बाइकार्बोनेट,सोडियम क्लोराइड,पोटेशियम कार्बोनेट,B,Science GK
धावन सोडा (Washing Soda) का रासायनिक नाम क्या है?,सोडियम बाइकार्बोनेट,सोडियम कार्बोनेट,सोडियम हाइड्रॉक्साइड,कैल्शियम कार्बोनेट,B,Science GK
बॉक्साइट (Bauxite) किसका अयस्क (Ore) है?,लोहा,तांबा,एल्युमिनियम,सोना,C,Science GK
सिंदूर (Vermilion) का रासायनिक नाम क्या है?,मरक्यूरिक सल्फाइड (HgS),लेड ऑक्साइड,कॉपर सल्फेट,आयरन ऑक्साइड,A,Science GK
अंतरिक्ष में जाने वाले प्रथम व्यक्ति कौन थे?,नील आर्मस्ट्रांग,यूरी गागरिन,राकेश शर्मा,एडविन एल्ड्रिन,B,Science GK
चंद्रमा पर कदम रखने वाले प्रथम व्यक्ति कौन थे?,यूरी गागरिन,राकेश शर्मा,नील आर्मस्ट्रांग,कल्पना चावला,C,Science GK
भारत का पहला कृत्रिम उपग्रह (Satellite) कौन सा था?,रोहिणी,भास्कर,आर्यभट्ट,स्पुतनिक,C,Science GK
ISRO की स्थापना कब हुई थी?,1958,1969,1975,1980,B,Science GK
सूर्य में ऊर्जा का मुख्य स्रोत क्या है?,नाभिकीय विखंडन,नाभिकीय संलयन (Nuclear Fusion),रासायनिक प्रतिक्रिया,गुरुत्वाकर्षण,B,Science GK
