q,A,B,C,D,ans,sub
विश्व का प्रथम देश जिसने संविधान का निर्माण किया?,ब्रिटेन,अमेरिका,फ्रांस,रूस,B,Static GK
अंतरिक्ष में जाने वाला विश्व का प्रथम व्यक्ति कौन था?,नील आर्मस्ट्रांग,यूरी गागरिन,राकेश शर्मा,एडविन एल्ड्रिन,B,Static GK
चंद्रमा पर उतरने वाला विश्व का प्रथम व्यक्ति कौन था?,यूरी गागरिन,नील आर्मस्ट्रांग,माइकल कोलिन्स,बज़ एल्ड्रिन,B,Static GK
उत्तरी ध्रुव (North Pole) पर पहुँचने वाला प्रथम व्यक्ति कौन था?,रॉबर्ट पियरी,एमंडसन,वास्कोडिगामा,कोलंबस,A,Static GK
दक्षिणी ध्रुव (South Pole) पर पहुँचने वाला प्रथम व्यक्ति कौन था?,रॉबर्ट पियरी,रॉल्ड एमंडसन,कैप्टन कुक,तस्मान,B,Static GK
विश्व का सबसे बड़ा महासागर कौन सा है?,हिंद महासागर,अटलांटिक महासागर,प्रशांत महासागर,आर्कटिक महासागर,C,Static GK
विश्व की सबसे लंबी नदी कौन सी है?,अमेज़न,नील,यांग्त्सी,मिसिसिपी,B,Static GK
विश्व का सबसे बड़ा रेगिस्तान कौन सा है?,गोबी,थार,सहारा,कालाहारी,C,Static GK
विश्व का सबसे ऊँचा पर्वत शिखर कौन सा है?,K2,कंचनजंगा,माउंट एवरेस्ट,माउंट किलिमंजारो,C,Static GK
संयुक्त राष्ट्र संघ (UNO) के प्रथम महासचिव कौन थे?,बान की मून,कोफी अन्नान,त्रिग्वेली (Trygve Lie),एंटोनियो गुटेरेस,C,Static GK
कागजी मुद्रा जारी करने वाला प्रथम बैंक कौन सा था?,बैंक ऑफ इंग्लैंड,बैंक ऑफ स्वीडन,रिज़र्व बैंक,बैंक ऑफ वेनिस,B,Static GK
संसार का सबसे बड़ा द्वीप (Island) कौन सा है?,बोर्नियो,ग्रीनलैंड,मेडागास्कर,न्यू गिनी,B,Static GK
संसार की सबसे गहरी झील कौन सी है?,बैकाल झील,कैस्पियन सागर,टिटिकाका,वुलर,A,Static GK
संसार की सबसे बड़ी ताजे पानी की झील कौन सी है?,चिल्का झील,सुपीरियर झील,कैस्पियन सागर,मिशिगन,B,Static GK
संसार का सबसे बड़ा महाद्वीप कौन सा है?,यूरोप,अफ्रीका,एशिया,उत्तरी अमेरिका,C,Static GK
संसार का सबसे छोटा महाद्वीप कौन सा है?,यूरोप,अंटार्कटिका,ऑस्ट्रेलिया,दक्षिण अमेरिका,C,Static GK
विश्व का सबसे बड़ा देश (क्षेत्रफल में) कौन सा है?,कनाडा,चीन,अमेरिका,रूस,D,Static GK
विश्व का सबसे बड़ा देश (जनसंख्या में - 2024 के अनुसार) कौन सा है?,चीन,भारत,अमेरिका,इंडोनेशिया,B,Static GK
संसार का सर्वाधिक जनसंख्या घनत्व वाला देश कौन सा है?,भारत,चीन,मोनाको/मकाऊ,बांग्लादेश,C,Static GK
सर्वाधिक सीमाओं (Borders) वाला देश कौन सा है?,भारत,रूस,चीन,अमेरिका,C,Static GK
सबसे लंबी तटरेखा (Coastline) वाला देश कौन सा है?,रूस,कनाडा,ऑस्ट्रेलिया,भारत,B,Static GK
ओलंपिक खेलों की शुरुआत किस देश से हुई थी?,फ्रांस,इटली,ग्रीस (यूनान),इंग्लैंड,C,Sports
आधुनिक ओलंपिक खेलों की शुरुआत कब हुई?,1896,1900,1904,1920,A,Sports
ओलंपिक ध्वज में कितने छल्ले (Rings) होते हैं?,4,5,6,7,B,Sports
क्रिकेट का जन्मदाता देश किसे माना जाता है?,भारत,ऑस्ट्रेलिया,इंग्लैंड,दक्षिण अफ्रीका,C,Sports
पहला क्रिकेट विश्व कप (World Cup) कब खेला गया था?,1971,1975,1983,1987,B,Sports
भारत ने अपना पहला क्रिकेट विश्व कप कब जीता था?,1975,1983,2007,2011,B,Sports
हॉकी का जादूगर किसे कहा जाता है?,धनराज पिल्लै,मेजर ध्यानचंद,संदीप सिंह,मनप्रीत सिंह,B,Sports
फुटबॉल का जन्म किस देश में हुआ?,ब्राज़ील,अर्जेंटीना,इंग्लैंड,जर्मनी,C,Sports
फीफा (FIFA) विश्व कप किस खेल से संबंधित है?,क्रिकेट,हॉकी,फुटबॉल,टेनिस,C,Sports
टेस्ट क्रिकेट में 100 शतक लगाने वाले एकमात्र खिलाड़ी कौन हैं?,रिकी पोंटिंग,विराट कोहली,सचिन तेंदुलकर,ब्रायन लारा,C,Sports
क्रिकेट पिच की लंबाई कितनी होती है?,20 गज,22 गज,24 गज,25 गज,B,Sports
कबड्डी के खेल में एक टीम में कितने खिलाड़ी होते हैं?,5,6,7,9,C,Sports
खो-खो की एक टीम में कितने खिलाड़ी मैदान पर उतरते हैं?,7,9,11,12,B,Sports
बास्केटबॉल की एक टीम में कितने खिलाड़ी होते हैं?,5,6,7,9,A,Sports
वॉलीबॉल की एक टीम में कितने खिलाड़ी होते हैं?,5,6,7,9,B,Sports
पोलो (Polo) के खेल में एक टीम में कितने खिलाड़ी होते हैं?,4,5,6,7,A,Sports
वाटर पोलो (Water Polo) में खिलाड़ियों की संख्या कितनी होती है?,5,6,7,9,C,Sports
शतरंज (Chess) के बोर्ड में कितने वर्ग (Squares) होते हैं?,60,62,64,66,C,Sports
थॉमस कप (Thomas Cup) किस खेल से संबंधित है?,बैडमिंटन,टेनिस,क्रिकेट,गोल्फ,A,Sports
उबेर कप (Uber Cup) किस खेल से संबंधित है?,टेनिस,बैडमिंटन (महिला),टेबल टेनिस,फुटबॉल,B,Sports
डेविस कप (Davis Cup) किस खेल से संबंधित है?,गोल्फ,टेनिस,क्रिकेट,हॉकी,B,Sports
संतोष ट्रॉफी किस खेल से संबंधित है?,हॉकी,फुटबॉल,क्रिकेट,बैडमिंटन,B,Sports
रणजी ट्रॉफी का संबंध किस खेल से है?,क्रिकेट,हॉकी,फुटबॉल,कबड्डी,A,Sports
सुब्रतो कप किस खेल से संबंधित है?,फुटबॉल,क्रिकेट,हॉकी,शतरंज,A,Sports
डूरंड कप (Durand Cup) किस खेल से संबंधित है?,हॉकी,फुटबॉल,क्रिकेट,पोलो,B,Sports
अजलन शाह कप किस खेल से संबंधित है?,क्रिकेट,फुटबॉल,हॉकी,बैडमिंटन,C,Sports
राजीव गांधी खेल रत्न पुरस्कार का नया नाम क्या है?,अर्जुन पुरस्कार,मेजर ध्यानचंद खेल रत्न पुरस्कार,सचिन तेंदुलकर पुरस्कार,द्रोणाचार्य पुरस्कार,B,Sports
द्रोणाचार्य पुरस्कार किसे दिया जाता है?,खिलाड़ियों को,खेल प्रशिक्षकों (Coaches) को,अंपायरों को,खेल पत्रकारों को,B,Sports
अर्जुन पुरस्कार की शुरुआत किस वर्ष हुई थी?,1951,1961,1985,1991,B,Sports
ओलंपिक में व्यक्तिगत पदक (Individual Medal) जीतने वाले पहले भारतीय कौन थे?,मिल्खा सिंह,पी.टी. उषा,के.डी. जाधव,अभिनव बिंद्रा,C,Sports
ओलंपिक में स्वर्ण पदक जीतने वाले पहले भारतीय (व्यक्तिगत) कौन थे?,नीरज चोपड़ा,अभिनव बिंद्रा,सुशील कुमार,राज्यवर्धन सिंह राठौर,B,Sports
ओलंपिक में पदक जीतने वाली पहली भारतीय महिला कौन थीं?,कर्णम मल्लेश्वरी,पी.वी. सिंधु,साइना नेहवाल,मैरी कॉम,A,Sports
नीरज चोपड़ा का संबंध किस खेल से है?,कुश्ती,निशानेबाजी,भाला फेंक (Javelin Throw),मुक्केबाजी,C,Sports
पी.वी. सिंधु का संबंध किस खेल से है?,टेनिस,टेबल टेनिस,बैडमिंटन,तीरंदाजी,C,Sports
मैरी कॉम का संबंध किस खेल से है?,कुश्ती,भारोत्तोलन,मुक्केबाजी (Boxing),निशानेबाजी,C,Sports
दीपा कर्माकर का संबंध किस खेल से है?,जिम्नास्टिक्स,तैराकी,तीरंदाजी,एथलेटिक्स,A,Sports
'फ्लाइंग सिख' (Flying Sikh) के नाम से किसे जाना जाता है?,नवजोत सिंह सिद्धू,मिल्खा सिंह,हरभजन सिंह,युवराज सिंह,B,Sports
'पय्योली एक्सप्रेस' (Payyoli Express) किसे कहा जाता है?,हिमा दास,पी.टी. उषा,दुती चंद,अंजू बॉबी जॉर्ज,B,Sports
'ढिंग एक्सप्रेस' (Dhing Express) किसे कहा जाता है?,पी.टी. उषा,दुती चंद,हिमा दास,स्वप्ना बर्मन,C,Sports
'रावलपिंडी एक्सप्रेस' किसे कहा जाता है?,वसीम अकरम,शोएब अख्तर,इमरान खान,वकार यूनिस,B,Sports
'लिटिल मास्टर' किसे कहा जाता है?,सचिन तेंदुलकर,सुनील गावस्कर,विराट कोहली,राहुल द्रविड़,B,Sports
'मास्टर ब्लास्टर' किसे कहा जाता है?,विवियन रिचर्ड्स,सुनील गावस्कर,सचिन तेंदुलकर,ब्रायन लारा,C,Sports
भारत का राष्ट्रीय खेल क्या माना जाता है?,क्रिकेट,हॉकी,फुटबॉल,कबड्डी,B,Sports
अमेरिका का राष्ट्रीय खेल कौन सा है?,बास्केटबॉल,फुटबॉल,बेसबॉल,गोल्फ,C,Sports
कनाडा का राष्ट्रीय खेल कौन सा है?,आइस हॉकी,बेसबॉल,रग्बी,क्रिकेट,A,Sports
जापान का राष्ट्रीय खेल कौन सा है?,जूडो,कराटे,सुमो कुश्ती,बेसबॉल,A,Sports
स्पेन का राष्ट्रीय खेल कौन सा है?,फुटबॉल,बुल फाइटिंग (सांडों की लड़ाई),रग्बी,टेनिस,B,Sports
वानखेड़े स्टेडियम कहाँ स्थित है?,कोलकाता,चेन्नई,मुंबई,दिल्ली,C,Sports
ईडन गार्डन्स (Eden Gardens) कहाँ स्थित है?,मुंबई,कोलकाता,चेन्नई,कानपुर,B,Sports
नरेंद्र मोदी स्टेडियम (विश्व का सबसे बड़ा क्रिकेट स्टेडियम) कहाँ है?,अहमदाबाद,दिल्ली,मुंबई,लखनऊ,A,Sports
भरतनाट्यम किस राज्य का प्रसिद्ध शास्त्रीय नृत्य है?,केरल,तमिलनाडु,आंध्र प्रदेश,कर्नाटक,B,Culture
कथकली किस राज्य का प्रसिद्ध शास्त्रीय नृत्य है?,केरल,तमिलनाडु,उत्तर प्रदेश,ओडिशा,A,Culture
कथक (Kathak) किस क्षेत्र का प्रसिद्ध शास्त्रीय नृत्य है?,दक्षिण भारत,उत्तर भारत (विशेषकर यूपी),पूर्वी भारत,पूर्वोत्तर भारत,B,Culture
कुचिपुड़ी किस राज्य का शास्त्रीय नृत्य है?,केरल,कर्नाटक,आंध्र प्रदेश,तमिलनाडु,C,Culture
ओडिसी किस राज्य का शास्त्रीय नृत्य है?,केरल,आंध्र प्रदेश,ओडिशा,असम,C,Culture
मणिपुरी नृत्य किस राज्य से संबंधित है?,मिजोरम,मणिपुर,मेघालय,असम,B,Culture
मोहिनीअट्टम किस राज्य का शास्त्रीय नृत्य है?,तमिलनाडु,केरल,कर्नाटक,आंध्र प्रदेश,B,Culture
सत्त्रिया (Sattriya) किस राज्य का शास्त्रीय नृत्य है?,असम,मणिपुर,त्रिपुरा,ओडिशा,A,Culture
बिहू (Bihu) लोक नृत्य किस राज्य से संबंधित है?,ओडिशा,असम,पश्चिम बंगाल,बिहार,B,Culture
गरबा और डांडिया किस राज्य के प्रसिद्ध लोक नृत्य हैं?,राजस्थान,गुजरात,महाराष्ट्र,पंजाब,B,Culture
भांगड़ा और गिद्दा किस राज्य के लोक नृत्य हैं?,हरियाणा,पंजाब,राजस्थान,गुजरात,B,Culture
घूमर (Ghoomar) किस राज्य का प्रसिद्ध लोक नृत्य है?,गुजरात,राजस्थान,मध्य प्रदेश,हरियाणा,B,Culture
लावणी (Lavani) किस राज्य का लोक नृत्य है?,गुजरात,महाराष्ट्र,कर्नाटक,गोवा,B,Culture
यक्षगान (Yakshagana) किस राज्य का प्रसिद्ध नृत्य नाटक है?,केरल,आंध्र प्रदेश,कर्नाटक,तमिलनाडु,C,Culture
रउफ (Rouf) लोक नृत्य किस राज्य/केंद्रशासित प्रदेश से संबंधित है?,पंजाब,हिमाचल प्रदेश,जम्मू-कश्मीर,उत्तराखंड,C,Culture
"नौटंकी, रासलीला और कजरी किस राज्य से संबंधित हैं?",बिहार,उत्तर प्रदेश,मध्य प्रदेश,राजस्थान,B,Culture
पंडवानी किस राज्य का प्रमुख लोकगीत/नृत्य है?,छत्तीसगढ़,मध्य प्रदेश,झारखंड,बिहार,A,Culture
तीजन बाई का संबंध किस लोक कला से है?,बिहू,लावणी,पंडवानी,नौटंकी,C,Culture
मदुबनी चित्रकला (Madhubani Painting) किस राज्य से संबंधित है?,उत्तर प्रदेश,बिहार,पश्चिम बंगाल,राजस्थान,B,Culture
वर्ली चित्रकला (Warli Painting) किस राज्य की प्रसिद्ध कला है?,महाराष्ट्र,गुजरात,राजस्थान,मध्य प्रदेश,A,Culture
कालीघाट चित्रकला का संबंध किस राज्य से है?,बिहार,ओडिशा,पश्चिम बंगाल,झारखंड,C,Culture
खजुराहो के मंदिर किस राज्य में स्थित हैं?,उत्तर प्रदेश,मध्य प्रदेश,राजस्थान,गुजरात,B,Culture
कोणार्क का सूर्य मंदिर किस राज्य में स्थित है?,ओडिशा,आंध्र प्रदेश,पश्चिम बंगाल,तमिलनाडु,A,Culture
कोणार्क के सूर्य मंदिर को और किस नाम से जाना जाता है?,वाइट पैगोडा,ब्लैक पैगोडा (Black Pagoda),गोल्डन पैगोडा,रेड पैगोडा,B,Culture
मीनाक्षी मंदिर कहाँ स्थित है?,कांचीपुरम,तिरुवनंतपुरम,मदुरै,चेन्नई,C,Culture
बृहदेश्वर मंदिर (तंजौर) का निर्माण किसने करवाया था?,राजाराज चोल,राजेंद्र चोल,पल्लव राजाओं ने,राष्ट्रकूटों ने,A,Culture
दिलवाड़ा का जैन मंदिर कहाँ स्थित है?,माउंट आबू (राजस्थान),श्रवणबेलगोला,पावापुरी,गिरनार,A,Culture
गोमतेश्वर की मूर्ति (बाहुबली) कहाँ स्थित है?,श्रवणबेलगोला (कर्नाटक),माउंट आबू,खजुराहो,मदुरै,A,Culture
स्वर्ण मंदिर (Golden Temple) कहाँ स्थित है?,पटियाला,अमृतसर,जालंधर,लुधियाना,B,Culture
चारमीनार कहाँ स्थित है?,दिल्ली,हैदराबाद,लखनऊ,औरंगाबाद,B,Culture
कुतुब मीनार कहाँ स्थित है?,आगरा,दिल्ली,अजमेर,फतेहपुर सीकरी,B,Culture
हवा महल कहाँ स्थित है?,उदयपुर,जोधपुर,जयपुर,बीकानेर,C,Culture
सांची का स्तूप किस राज्य में है?,उत्तर प्रदेश,मध्य प्रदेश,बिहार,महाराष्ट्र,B,Culture
अजंता और एलोरा की गुफाएँ कहाँ स्थित हैं?,औरंगाबाद (महाराष्ट्र),पुणे,नासिक,भोपाल,A,Culture
एलिफेंटा की गुफाएँ (Elephanta Caves) कहाँ स्थित हैं?,मुंबई,औरंगाबाद,पुणे,नासिक,A,Culture
पुष्कर मेला कहाँ लगता है?,अजमेर (राजस्थान),जयपुर,जोधपुर,उदयपुर,A,Culture
सोनपुर का पशु मेला (एशिया का सबसे बड़ा) कहाँ लगता है?,उत्तर प्रदेश,बिहार,मध्य प्रदेश,राजस्थान,B,Culture
कुंभ मेला भारत में कितने स्थानों पर लगता है?,2,3,4,5,C,Culture
"हरिद्वार, प्रयागराज, नासिक और उज्जैन में कौन सा मेला लगता है?",पुष्कर मेला,कुंभ मेला,सोनपुर मेला,सूरजकुंड मेला,B,Culture
हॉर्नबिल फेस्टिवल (Hornbill Festival) किस राज्य में मनाया जाता है?,मेघालय,नागालैंड,असम,मिजोरम,B,Culture
पोंगल (Pongal) किस राज्य का प्रमुख त्योहार है?,केरल,तमिलनाडु,आंध्र प्रदेश,कर्नाटक,B,Culture
ओणम (Onam) किस राज्य का प्रमुख त्योहार है?,केरल,तमिलनाडु,आंध्र प्रदेश,कर्नाटक,A,Culture
छठ पूजा मुख्य रूप से किस राज्य का त्योहार है?,उत्तर प्रदेश,बिहार,झारखंड,उपरोक्त सभी,D,Culture
लोहड़ी (Lohri) और बैसाखी किस राज्य के प्रमुख त्योहार हैं?,राजस्थान,गुजरात,पंजाब,हरियाणा,C,Culture
गुड़ी पड़वा (Gudi Padwa) किस राज्य का नववर्ष त्योहार है?,गुजरात,महाराष्ट्र,कर्नाटक,गोवा,B,Culture
जगन्नाथ रथ यात्रा कहाँ निकाली जाती है?,पुरी (ओडिशा),मथुरा,काशी,द्वारका,A,Culture
उस्ताद बिस्मिल्लाह खान का संबंध किस वाद्य यंत्र से था?,तबला,बांसुरी,शहनाई,सितार,C,Culture
पंडित रविशंकर का संबंध किस वाद्य यंत्र से था?,सितार,सरोद,तबला,बांसुरी,A,Culture
हरिप्रसाद चौरसिया का संबंध किस वाद्य यंत्र से है?,तबला,बांसुरी,शहनाई,सितार,B,Culture
ज़ाकिर हुसैन का संबंध किस वाद्य यंत्र से है?,सितार,सरोद,तबला,शहनाई,C,Culture
'महाभारत' के रचयिता कौन हैं?,वाल्मीकि,वेदव्यास,तुलसीदास,कालिदास,B,Books
'रामायण' के रचयिता कौन हैं?,वाल्मीकि,वेदव्यास,तुलसीदास,कालिदास,A,Books
'रामचरितमानस' के रचयिता कौन हैं?,वाल्मीकि,वेदव्यास,तुलसीदास,कबीरदास,C,Books
'पंचतंत्र' की रचना किसने की?,विष्णु शर्मा,चाणक्य,कालिदास,बाणभट्ट,A,Books
'अर्थशास्त्र' पुस्तक किसने लिखी है?,मेगस्थनीज,चाणक्य (कौटिल्य),हर्षवर्धन,कालिदास,B,Books
'अष्टाध्यायी' के लेखक कौन हैं?,पतंजलि,पाणिनि,तुलसीदास,विष्णु शर्मा,B,Books
'राजतरंगिणी' (कश्मीर का इतिहास) किसने लिखी है?,कल्हण,बिल्हण,बाणभट्ट,चाणक्य,A,Books
'मुद्राराक्षस' के लेखक कौन हैं?,विशाखदत्त,शूद्रक,कालिदास,हर्षवर्धन,A,Books
'अभिज्ञानशाकुंतलम्' किसकी रचना है?,तुलसीदास,कालिदास,विष्णु शर्मा,वेदव्यास,B,Books
'मेघदूत' और 'कुमारसंभव' किसकी रचना है?,कालिदास,बाणभट्ट,हर्षवर्धन,विशाखदत्त,A,Books
'हर्षचरित' और 'कादंबरी' के लेखक कौन हैं?,हर्षवर्धन,बाणभट्ट,कालिदास,विशाखदत्त,B,Books
'गीत गोविंद' के रचयिता कौन हैं?,जयदेव,तुलसीदास,सूरदास,मीराबाई,A,Books
'पृथ्वीराज रासो' किसने लिखी है?,पृथ्वीराज चौहान,चंदबरदाई,बाणभट्ट,कल्हण,B,Books
'शाहनामा' के लेखक कौन हैं?,अलबरूनी,फिरदौसी,अबुल फज़ल,अमीर खुसरो,B,Books
'किताब-उल-हिंद' किसकी रचना है?,अलबरूनी,इब्न बतूता,फिरदौसी,अमीर खुसरो,A,Books
'बाबरनामा' किसने लिखी है?,अबुल फज़ल,गुलबदन बेगम,बाबर,हुमायूँ,C,Books
'हुमायूँनामा' की रचना किसने की?,हुमायूँ,गुलबदन बेगम,बाबर,अकबर,B,Books
'अकबरनामा' और 'आईन-ए-अकबरी' किसने लिखी है?,अबुल फज़ल,फैज़ी,बीरबल,अकबर,A,Books
'आनंदमठ' उपन्यास के लेखक कौन हैं?,रवींद्रनाथ टैगोर,बंकिम चंद्र चटर्जी,शरतचंद्र चटर्जी,मुंशी प्रेमचंद,B,Books
'गीतांजलि' के लिए किसे नोबेल पुरस्कार मिला था?,बंकिम चंद्र चटर्जी,रवींद्रनाथ टैगोर,सुमित्रानंदन पंत,महादेवी वर्मा,B,Books
"'गोदान', 'गबन' और 'कर्मभूमि' किसकी रचनाएँ हैं?",जयशंकर प्रसाद,सूर्यकांत त्रिपाठी निराला,मुंशी प्रेमचंद,रामधारी सिंह दिनकर,C,Books
'कामायनी' महाकाव्य के रचयिता कौन हैं?,जयशंकर प्रसाद,सुमित्रानंदन पंत,महादेवी वर्मा,रामधारी सिंह दिनकर,A,Books
'यामा' (Yama) किसकी रचना है?,सुभद्रा कुमारी चौहान,महादेवी वर्मा,मीराबाई,सरोजिनी नायडू,B,Books
'मधुशाला' के रचयिता कौन हैं?,हरिवंश राय बच्चन,रामधारी सिंह दिनकर,जयशंकर प्रसाद,निराला,A,Books
'उर्वशी' के लेखक कौन हैं?,जयशंकर प्रसाद,रामधारी सिंह दिनकर,महादेवी वर्मा,सुमित्रानंदन पंत,B,Books
'डिस्कवरी ऑफ इंडिया' (भारत की खोज) किसने लिखी है?,महात्मा गांधी,जवाहरलाल नेहरू,सुभाष चंद्र बोस,सरदार पटेल,B,Books
'माई एक्सपेरिमेंट्स विद ट्रुथ' (सत्य के साथ मेरे प्रयोग) किसकी आत्मकथा है?,जवाहरलाल नेहरू,भगत सिंह,महात्मा गांधी,सुभाष चंद्र बोस,C,Books
'हिंद स्वराज' पुस्तक किसने लिखी है?,महात्मा गांधी,जवाहरलाल नेहरू,बाल गंगाधर तिलक,सावरकर,A,Books
'इंडिया विन्स फ्रीडम' के लेखक कौन हैं?,जवाहरलाल नेहरू,मौलाना अबुल कलाम आज़ाद,सरदार पटेल,महात्मा गांधी,B,Books
'गीता रहस्य' नामक पुस्तक किसने लिखी है?,महात्मा गांधी,बाल गंगाधर तिलक,लाला लाजपत राय,बिपिन चंद्र पाल,B,Books
'सत्यार्थ प्रकाश' के लेखक कौन हैं?,स्वामी विवेकानंद,स्वामी दयानंद सरस्वती,राजा राममोहन राय,रामकृष्ण परमहंस,B,Books
'विंग्स ऑफ फायर' (Wings of Fire) किसकी आत्मकथा है?,जवाहरलाल नेहरू,डॉ. ए.पी.जे. अब्दुल कलाम,सचिन तेंदुलकर,नरेंद्र मोदी,B,Books
'इग्नाइटेड माइंड्स' (Ignited Minds) के लेखक कौन हैं?,चेतन भगत,डॉ. ए.पी.जे. अब्दुल कलाम,अरुंधति रॉय,सलमान रुश्दी,B,Books
'हाफ गर्लफ्रेंड' और '2 स्टेट्स' के लेखक कौन हैं?,चेतन भगत,अमीश त्रिपाठी,रस्किन बॉन्ड,अरुंधति रॉय,A,Books
'द गॉड ऑफ स्मॉल थिंग्स' (The God of Small Things) के लेखक कौन हैं?,किरण देसाई,अरुंधति रॉय,झुम्पा लाहिड़ी,अमिताभ घोष,B,Books
'मिडनाइट्स चिल्ड्रन' (Midnight's Children) पुस्तक के लेखक कौन हैं?,सलमान रुश्दी,वी.एस. नायपॉल,अरुंधति रॉय,शशि थरूर,A,Books
'अ सूटेबल बॉय' (A Suitable Boy) के लेखक कौन हैं?,अमिताभ घोष,विक्रम सेठ,सलमान रुश्दी,चेतन भगत,B,Books
'द व्हाइट टाइगर' (The White Tiger) के लेखक कौन हैं?,अरविंद अडिगा,विक्रम सेठ,शशि थरूर,अरुंधति रॉय,A,Books
