q,A,B,C,D,ans,sub
किस मुगल शासक के काल को 'चित्रकला का स्वर्ण काल' कहा जाता है?,अकबर,जहांगीर,शाहजहां,औरंगजेब,B,History
ताजमहल का निर्माण किसने करवाया था?,अकबर,जहांगीर,शाहजहां,औरंगजेब,C,History
किस मुगल शासक को 'जिंदा पीर' कहा जाता था?,अकबर,जहांगीर,शाहजहां,औरंगजेब,D,History
शिवाजी का राज्याभिषेक कहाँ हुआ था?,पुणे,रायगढ़,सूरत,आगरा,B,History
गुरु नानक देव का जन्म कहाँ हुआ था?,अमृतसर,लाहौर,तलवंडी (ननकाना साहिब),जालंधर,C,History
खालसा पंथ की स्थापना किसने की थी?,गुरु अर्जुन देव,गुरु गोबिंद सिंह,गुरु तेग बहादुर,गुरु नानक देव,B,History
वास्कोडिगामा भारत के किस बंदरगाह पर पहुँचा था?,सूरत,कालीकट,कोचीन,गोवा,B,History
ईस्ट इंडिया कंपनी की स्थापना कब हुई थी?,1600 ई.,1602 ई.,1608 ई.,1615 ई.,A,History
प्लासी का युद्ध कब हुआ था?,1757,1764,1857,1905,A,History
बक्सर का युद्ध कब हुआ था?,1757,1764,1857,1942,B,History
बंगाल में द्वैध शासन किसने लागू किया था?,लॉर्ड कॉर्नवालिस,लॉर्ड डलहौजी,रॉबर्ट क्लाइव,लॉर्ड वेलेजली,C,History
स्थायी बंदोबस्त (Permanent Settlement) किसने लागू किया था?,लॉर्ड कॉर्नवालिस,लॉर्ड डलहौजी,रॉबर्ट क्लाइव,लॉर्ड वेलेजली,A,History
सती प्रथा का अंत (1829) किसने किया था?,लॉर्ड डलहौजी,लॉर्ड विलियम बेंटिक,लॉर्ड कैनिंग,लॉर्ड कर्जन,B,History
राज्य हड़प नीति (Doctrine of Lapse) किसने लागू की थी?,लॉर्ड वेलेजली,लॉर्ड कॉर्नवालिस,लॉर्ड डलहौजी,लॉर्ड कैनिंग,C,History
भारत में पहली रेल कब चली थी?,1853,1857,1869,1885,A,History
1857 की क्रांति कहाँ से शुरू हुई थी?,दिल्ली,मेरठ,कानपुर,लखनऊ,B,History
1857 के विद्रोह के समय भारत का गवर्नर जनरल कौन था?,लॉर्ड डलहौजी,लॉर्ड कैनिंग,लॉर्ड विलियम बेंटिक,लॉर्ड रिपन,B,History
ब्रह्म समाज की स्थापना किसने की थी?,स्वामी विवेकानंद,दयानंद सरस्वती,राजा राममोहन राय,रामकृष्ण परमहंस,C,History
आर्य समाज की स्थापना किसने की थी?,स्वामी विवेकानंद,स्वामी दयानंद सरस्वती,राजा राममोहन राय,आत्माराम पांडुरंग,B,History
रामकृष्ण मिशन की स्थापना किसने की थी?,स्वामी विवेकानंद,दयानंद सरस्वती,राजा राममोहन राय,रामकृष्ण परमहंस,A,History
सत्यार्थ प्रकाश नामक पुस्तक किसने लिखी है?,स्वामी विवेकानंद,स्वामी दयानंद सरस्वती,राजा राममोहन राय,महात्मा गांधी,B,History
भारतीय राष्ट्रीय कांग्रेस की स्थापना कब हुई थी?,1885,1905,1906,1915,A,History
भारतीय राष्ट्रीय कांग्रेस के प्रथम अध्यक्ष कौन थे?,ए.ओ. ह्यूम,व्योमेश चंद्र बनर्जी (W.C. Banerjee),दादाभाई नौरोजी,बदरुद्दीन तैयबजी,B,History
बंगाल का विभाजन (1905) किसके समय में हुआ था?,लॉर्ड रिपन,लॉर्ड कर्जन,लॉर्ड कैनिंग,लॉर्ड डलहौजी,B,History
मुस्लिम लीग की स्थापना कब हुई थी?,1905,1906,1907,1915,B,History
सूरत अधिवेशन (1907) में कांग्रेस का विभाजन किन दो दलों में हुआ था?,हिंदू और मुस्लिम,नरम दल और गरम दल,कांग्रेस और मुस्लिम लीग,इनमें से कोई नहीं,B,History
मार्ले-मिंटो सुधार किस वर्ष आया था?,1905,1909,1919,1935,B,History
महात्मा गांधी दक्षिण अफ्रीका से भारत कब लौटे थे?,1915,1916,1917,1919,A,History
गांधीजी ने भारत में पहला सत्याग्रह कहाँ किया था?,खेड़ा,चंपारण,अहमदाबाद,दांडी,B,History
रौलेट एक्ट (Rowlatt Act) किस वर्ष पारित हुआ था?,1915,1917,1919,1922,C,History
जलियांवाला बाग हत्याकांड कब हुआ था?,13 अप्रैल 1919,13 अप्रैल 1920,15 अगस्त 1919,26 जनवरी 1920,A,History
असहयोग आंदोलन (Non-Cooperation Movement) कब शुरू हुआ था?,1919,1920,1922,1930,B,History
चौरी-चौरा कांड किस वर्ष हुआ था?,1920,1922,1925,1930,B,History
स्वराज पार्टी की स्थापना किसने की थी?,महात्मा गांधी,जवाहरलाल नेहरू,मोतीलाल नेहरू और सी.आर. दास,सुभाष चंद्र बोस,C,History
साइमन कमीशन भारत कब आया था?,1927,1928,1930,1942,B,History
पंजाब केसरी किसे कहा जाता है?,भगत सिंह,लाला लाजपत राय,सुभाष चंद्र बोस,चंद्रशेखर आजाद,B,History
पूर्ण स्वराज की मांग कांग्रेस के किस अधिवेशन में की गई थी?,सूरत (1907),लाहौर (1929),कराची (1931),लखनऊ (1916),B,History
संविनय अवज्ञा आंदोलन (दांडी मार्च) कब शुरू हुआ था?,1920,1929,1930,1942,C,History
गांधी-इरविन समझौता कब हुआ था?,1930,1931,1932,1935,B,History
पूना पैक्ट (1932) किसके बीच हुआ था?,गांधी और जिन्ना,गांधी और अंबेडकर,गांधी और इरविन,गांधी और सुभाष चंद्र बोस,B,History
'फॉरवर्ड ब्लॉक' की स्थापना किसने की थी?,महात्मा गांधी,जवाहरलाल नेहरू,सुभाष चंद्र बोस,भगत सिंह,C,History
क्रिप्स मिशन भारत कब आया था?,1940,1942,1945,1946,B,History
भारत छोड़ो आंदोलन (Quit India Movement) कब शुरू हुआ था?,1940,1942,1945,1947,B,History
'करो या मरो' का नारा किसने दिया था?,सुभाष चंद्र बोस,भगत सिंह,महात्मा गांधी,जवाहरलाल नेहरू,C,History
आजाद हिंद फौज की स्थापना किसने की थी?,सुभाष चंद्र बोस,रासबिहारी बोस,कैप्टन मोहन सिंह,भगत सिंह,C,History
कैबिनेट मिशन भारत कब आया था?,1942,1945,1946,1947,C,History
भारत के प्रथम गवर्नर जनरल कौन थे?,लॉर्ड कॉर्नवालिस,लॉर्ड विलियम बेंटिक,लॉर्ड कैनिंग,लॉर्ड माउंटबेटन,B,History
स्वतंत्र भारत के प्रथम गवर्नर जनरल कौन थे?,सी. राजगोपालाचारी,लॉर्ड माउंटबेटन,राजेंद्र प्रसाद,जवाहरलाल नेहरू,B,History
स्वतंत्र भारत के प्रथम भारतीय गवर्नर जनरल कौन थे?,सी. राजगोपालाचारी,लॉर्ड माउंटबेटन,राजेंद्र प्रसाद,जवाहरलाल नेहरू,A,History
लोह पुरुष (Iron Man) किसे कहा जाता है?,भगत सिंह,सुभाष चंद्र बोस,सरदार वल्लभभाई पटेल,जवाहरलाल नेहरू,C,History
'जय हिंद' का नारा किसने दिया था?,महात्मा गांधी,भगत सिंह,सुभाष चंद्र बोस,चंद्रशेखर आजाद,C,History
'इंकलाब जिंदाबाद' का नारा किसने दिया था?,सुभाष चंद्र बोस,भगत सिंह,महात्मा गांधी,लाला लाजपत राय,B,History
"'तुम मुझे खून दो, मैं तुम्हें आजादी दूंगा' किसने कहा था?",महात्मा गांधी,भगत सिंह,सुभाष चंद्र बोस,बाल गंगाधर तिलक,C,History
'वेदों की ओर लौटो' का नारा किसने दिया था?,स्वामी विवेकानंद,दयानंद सरस्वती,राजा राममोहन राय,रामकृष्ण परमहंस,B,History
भारतीय असंतोष का जनक किसे कहा जाता है?,महात्मा गांधी,भगत सिंह,बाल गंगाधर तिलक,विपिन चंद्र पाल,C,History
सीमांत गांधी (Frontier Gandhi) किसे कहा जाता है?,मोहम्मद अली जिन्ना,खान अब्दुल गफ्फार खान,लियाकत अली खान,अबुल कलाम आजाद,B,History
डिस्कवरी ऑफ इंडिया पुस्तक किसने लिखी है?,महात्मा गांधी,जवाहरलाल नेहरू,सुभाष चंद्र बोस,सरदार पटेल,B,History
