q,A,B,C,D,ans,sub
भारत में सर्वाधिक क्षेत्रफल पर कौन सी मिट्टी पाई जाती है?,काली मिट्टी,लाल मिट्टी,जलोढ़ मिट्टी,लेटराइट मिट्टी,C,Geography
कपास की खेती के लिए कौन सी मिट्टी सबसे उपयुक्त है?,जलोढ़,काली,लाल,लेटराइट,B,Geography
रेगुर मिट्टी किसे कहा जाता है?,लाल मिट्टी,लेटराइट मिट्टी,जलोढ़ मिट्टी,काली मिट्टी,D,Geography
भारत का सबसे बड़ा राष्ट्रीय उद्यान कौन सा है?,जिम कॉर्बेट,काजीरंगा,हेमिस,रणथंभौर,C,Geography
जिम कॉर्बेट राष्ट्रीय उद्यान किस राज्य में है?,उत्तराखंड,उत्तर प्रदेश,मध्य प्रदेश,असम,A,Geography
काजीरंगा राष्ट्रीय उद्यान किसके लिए प्रसिद्ध है?,बाघ,हाथी,एक सींग वाला गैंडा,शेर,C,Geography
गिर राष्ट्रीय उद्यान (शेरों के लिए) किस राज्य में है?,राजस्थान,मध्य प्रदेश,गुजरात,महाराष्ट्र,C,Geography
भारत का सबसे बड़ा बाघ रिज़र्व (Tiger Reserve) कौन सा है?,नागार्जुनसागर श्रीशैलम,जिम कॉर्बेट,सुंदरबन,कान्हा,A,Geography
साइलेंट वैली (शांत घाटी) किस राज्य में है?,उत्तराखंड,केरल,तमिलनाडु,हिमाचल प्रदेश,B,Geography
फूलों की घाटी (Valley of Flowers) कहाँ स्थित है?,जम्मू-कश्मीर,हिमाचल प्रदेश,उत्तराखंड,सिक्किम,C,Geography
गेहूं उत्पादन में भारत का कौन सा राज्य प्रथम है?,पंजाब,उत्तर प्रदेश,हरियाणा,मध्य प्रदेश,B,Geography
चावल उत्पादन में भारत का कौन सा राज्य प्रथम है?,पश्चिम बंगाल,उत्तर प्रदेश,पंजाब,आंध्र प्रदेश,A,Geography
चाय उत्पादन में भारत का कौन सा राज्य प्रथम है?,पश्चिम बंगाल,असम,केरल,तमिलनाडु,B,Geography
कॉफी उत्पादन में भारत का कौन सा राज्य प्रथम है?,केरल,कर्नाटक,तमिलनाडु,असम,B,Geography
गन्ना उत्पादन में भारत का कौन सा राज्य प्रथम है?,महाराष्ट्र,उत्तर प्रदेश,कर्नाटक,तमिलनाडु,B,Geography
कपास उत्पादन में भारत का कौन सा राज्य प्रथम है?,महाराष्ट्र,गुजरात,पंजाब,मध्य प्रदेश,B,Geography
भारत में हरित क्रांति के जनक कौन हैं?,वर्गीज कुरियन,एम.एस. स्वामीनाथन,नॉर्मन बोरलॉग,होमी भाभा,B,Geography
श्वेत क्रांति (White Revolution) किससे संबंधित है?,अंडा उत्पादन,मत्स्य उत्पादन,दुग्ध उत्पादन,गेहूं उत्पादन,C,Geography
भारत का रूर (Ruhr of India) किस नदी घाटी को कहा जाता है?,दामोदर,गोदावरी,महानदी,नर्मदा,A,Geography
भारत में सर्वाधिक कोयला कहाँ पाया जाता है?,झारखंड,छत्तीसगढ़,ओडिशा,मध्य प्रदेश,A,Geography
भारत का सबसे पुराना तेल शोधक कारखाना कहाँ है?,बॉम्बे हाई,डिगबोई (असम),जामनगर,मथुरा,B,Geography
भारत में सबसे अधिक यूरेनियम कहाँ पाया जाता है?,जादूगोड़ा (झारखंड),खेतड़ी (राजस्थान),कोलार (कर्नाटक),पन्ना (एमपी),A,Geography
कोलार सोने की खान किस राज्य में है?,आंध्र प्रदेश,कर्नाटक,तमिलनाडु,मध्य प्रदेश,B,Geography
पन्ना (मध्य प्रदेश) किसके लिए प्रसिद्ध है?,सोना,चांदी,हीरा,कोयला,C,Geography
भारत का सबसे लंबा राष्ट्रीय राजमार्ग कौन सा है?,NH 44,NH 7,NH 2,NH 8,A,Geography
भारत का सबसे छोटा राष्ट्रीय राजमार्ग कौन सा है?,NH 44,NH 47A (अब NH 966B),NH 1,NH 10,B,Geography
स्वर्णिम चतुर्भुज योजना किससे संबंधित है?,रेलवे,जलमार्ग,सड़क मार्ग,वायु मार्ग,C,Geography
भारत का सबसे बड़ा बंदरगाह (Port) कौन सा है?,कांडला,चेन्नई,मुंबई,विशाखापत्तनम,C,Geography
भारत का सबसे गहरा बंदरगाह कौन सा है?,पारादीप,विशाखापत्तनम,कोच्चि,हल्दिया,B,Geography
जवाहरलाल नेहरू बंदरगाह (न्हावा शेवा) कहाँ है?,गुजरात,महाराष्ट्र,कर्नाटक,गोवा,B,Geography
दीनदयाल बंदरगाह (पुराना नाम- कांडला) कहाँ है?,गुजरात,महाराष्ट्र,केरल,तमिलनाडु,A,Geography
भारत में पहली जनगणना कब हुई थी?,1872,1881,1901,1951,A,Geography
भारत में नियमित जनगणना कब से शुरू हुई?,1872,1881,1891,1901,B,Geography
2011 की जनगणना के अनुसार भारत का सर्वाधिक जनसंख्या वाला राज्य?,महाराष्ट्र,बिहार,उत्तर प्रदेश,पश्चिम बंगाल,C,Geography
2011 की जनगणना के अनुसार न्यूनतम जनसंख्या वाला राज्य?,सिक्किम,मिजोरम,अरुणाचल प्रदेश,गोवा,A,Geography
सर्वाधिक जनसंख्या घनत्व वाला राज्य कौन सा है?,उत्तर प्रदेश,पश्चिम बंगाल,बिहार,केरल,C,Geography
न्यूनतम जनसंख्या घनत्व वाला राज्य कौन सा है?,सिक्किम,मिजोरम,अरुणाचल प्रदेश,नागालैंड,C,Geography
सर्वाधिक साक्षरता (Literacy) वाला राज्य कौन सा है?,मिजोरम,केरल,गोवा,त्रिपुरा,B,Geography
न्यूनतम साक्षरता वाला राज्य कौन सा है?,अरुणाचल प्रदेश,राजस्थान,बिहार,झारखंड,C,Geography
सर्वाधिक लिंगानुपात (Sex Ratio) वाला राज्य कौन सा है?,तमिलनाडु,आंध्र प्रदेश,केरल,छत्तीसगढ़,C,Geography
न्यूनतम लिंगानुपात वाला राज्य कौन सा है?,पंजाब,हरियाणा,सिक्किम,जम्मू-कश्मीर,B,Geography
भारत की सबसे बड़ी जनजाति कौन सी है?,गोंड,भील,संथाल,मुंडा,B,Geography
टोडा जनजाति कहाँ पाई जाती है?,अंडमान,नीलगिरि पहाड़ियाँ,छोटानागपुर पठार,मेघालय,B,Geography
"गारो, खासी और जयंतिया पहाड़ियाँ किस राज्य में हैं?",असम,मेघालय,अरुणाचल प्रदेश,नागालैंड,B,Geography
नाथुला दर्रा किस राज्य में है?,सिक्किम,अरुणाचल प्रदेश,उत्तराखंड,हिमाचल प्रदेश,A,Geography
रोहतांग दर्रा किस राज्य में है?,जम्मू-कश्मीर,हिमाचल प्रदेश,उत्तराखंड,सिक्किम,B,Geography
काराकोरम दर्रा कहाँ स्थित है?,लद्दाख,हिमाचल प्रदेश,उत्तराखंड,सिक्किम,A,Geography
बोमडिला दर्रा किस राज्य में है?,सिक्किम,अरुणाचल प्रदेश,उत्तराखंड,हिमाचल प्रदेश,B,Geography
खैबर दर्रा कहाँ स्थित है?,भारत,नेपाल,पाकिस्तान (पाकिस्तान-अफगान सीमा),भूटान,C,Geography
थार मरुस्थल भारत के किस राज्य में है?,गुजरात,राजस्थान,पंजाब,हरियाणा,B,Geography
दक्षिण भारत का मैनचेस्टर किसे कहा जाता है?,चेन्नई,कोयंबटूर,मदुरै,बेंगलुरु,B,Geography
भारत का बोस्टन या भारत का मैनचेस्टर किसे कहा जाता है?,सूरत,अहमदाबाद,मुंबई,कानपुर,B,Geography
उत्तर भारत का मैनचेस्टर किसे कहा जाता है?,कानपुर,लखनऊ,आगरा,वाराणसी,A,Geography
सिलिकॉन वैली (Silicon Valley) ऑफ इंडिया किसे कहा जाता है?,पुणे,हैदराबाद,बेंगलुरु,चेन्नई,C,Geography
झीलों की नगरी किसे कहा जाता है?,जयपुर,उदयपुर,भोपाल,श्रीनगर,B,Geography
गुलाबी शहर (Pink City) किसे कहा जाता है?,जोधपुर,जैसलमेर,जयपुर,उदयपुर,C,Geography
भारत का मसालों का बगीचा किसे कहा जाता है?,कर्नाटक,केरल,तमिलनाडु,आंध्र प्रदेश,B,Geography
सात टापुओं का नगर किसे कहा जाता है?,कोलकाता,चेन्नई,मुंबई,विशाखापत्तनम,C,Geography
विश्व का सबसे बड़ा महाद्वीप कौन सा है?,अफ्रीका,एशिया,उत्तरी अमेरिका,यूरोप,B,Geography
विश्व का सबसे छोटा महाद्वीप कौन सा है?,यूरोप,ऑस्ट्रेलिया,अंटार्कटिका,दक्षिण अमेरिका,B,Geography
विश्व का सबसे बड़ा महासागर कौन सा है?,अटलांटिक,हिंद,प्रशांत (Pacific),आर्कटिक,C,Geography
विश्व का सबसे छोटा महासागर कौन सा है?,हिंद,आर्कटिक,अटलांटिक,प्रशांत,B,Geography
विश्व की सबसे गहरी खाई कौन सी है?,सुंडा गर्त,मारियाना ट्रेंच (Mariana Trench),प्यूर्टो रिको गर्त,टोंगा गर्त,B,Geography
विश्व का सबसे बड़ा द्वीप (Island) कौन सा है?,मेडागास्कर,बोर्नियो,ग्रीनलैंड,न्यू गिनी,C,Geography
विश्व का सबसे बड़ा नदी द्वीप कौन सा है?,माजुली,मारोजो,बैनर,विक्टोरिया,A,Geography
विश्व का सबसे बड़ा मरुस्थल (Desert) कौन सा है?,गोबी,सहारा,थार,कालाहारी,B,Geography
एशिया का सबसे बड़ा मरुस्थल कौन सा है?,थार,गोबी,अटाकामा,सहारा,B,Geography
विश्व की सबसे लंबी नदी कौन सी है?,अमेज़न,नील (Nile),यांग्त्सी,मिसिसिपी,B,Geography
विश्व की सबसे चौड़ी और बहाव की दृष्टि से सबसे बड़ी नदी?,नील,अमेज़न,कांगो,ब्रह्मपुत्र,B,Geography
विश्व की सबसे बड़ी मीठे पानी की झील कौन सी है?,सुपीरियर,मिशिगन,ह्यूरॉन,बैकाल,A,Geography
विश्व की सबसे गहरी झील कौन सी है?,सुपीरियर,कैस्पियन सागर,बैकाल,टिटिकाका,C,Geography
विश्व की सबसे बड़ी खारे पानी की झील कौन सी है?,अरल सागर,कैस्पियन सागर,मृत सागर,ग्रेट साल्ट लेक,B,Geography
विश्व की सबसे ऊँची झील कौन सी है?,टिटिकाका,बैकाल,सुपीरियर,विक्टोरिया,A,Geography
विश्व का सबसे ऊँचा जलप्रपात (Waterfall) कौन सा है?,नियाग्रा,एंजिल (Angel),विक्टोरिया,जोग,B,Geography
विश्व की सबसे लंबी पर्वतमाला कौन सी है?,हिमालय,रॉकी,एंडीज़ (Andes),आल्प्स,C,Geography
विश्व की सबसे ऊँची पर्वत चोटी कौन सी है?,K2,माउंट एवरेस्ट,कंचनजंगा,माउंट किलिमंजारो,B,Geography
पामीर का पठार (संसार की छत) कहाँ स्थित है?,चीन,भारत,तिब्बत (मध्य एशिया),अफगानिस्तान,C,Geography
विश्व का सबसे बड़ा प्रायद्वीप (Peninsula) कौन सा है?,भारतीय प्रायद्वीप,अरब प्रायद्वीप,इंडोचीन प्रायद्वीप,लैब्राडोर,B,Geography
श्वेत महाद्वीप (White Continent) किसे कहा जाता है?,यूरोप,अंटार्कटिका,ग्रीनलैंड,ऑस्ट्रेलिया,B,Geography
अंध महाद्वीप (Dark Continent) किसे कहा जाता है?,एशिया,अफ्रीका,दक्षिण अमेरिका,ऑस्ट्रेलिया,B,Geography
उगते सूरज का देश किसे कहा जाता है?,नॉर्वे,जापान,ब्रिटेन,न्यूज़ीलैंड,B,Geography
डूबते सूरज का देश किसे कहा जाता है?,जापान,ब्रिटेन,नॉर्वे,अमेरिका,B,Geography
मध्यरात्रि के सूर्य का देश किसे कहा जाता है?,जापान,नॉर्वे,ब्रिटेन,स्वीडन,B,Geography
सफेद हाथियों का देश किसे कहा जाता है?,भारत,थाईलैंड,लाओस,मलेशिया,B,Geography
हजार झीलों की भूमि किसे कहा जाता है?,नॉर्वे,फिनलैंड,स्वीडन,कनाडा,B,Geography
प्यासी भूमि का देश किसे कहा जाता है?,अफ्रीका,ऑस्ट्रेलिया,सऊदी अरब,चिली,B,Geography
सोने और हीरों का देश किसे कहा जाता है?,दक्षिण अफ्रीका,ऑस्ट्रेलिया,ब्राज़ील,रूस,A,Geography
यूरोप का अखाड़ा किसे कहा जाता है?,स्विट्ज़रलैंड,बेल्जियम,इटली,फ्रांस,B,Geography
भूमध्य सागर का प्रकाश स्तंभ किसे कहा जाता है?,एटना,स्ट्रोमबोली,विसुवियस,क्राकाटोआ,B,Geography
पनामा नहर किन दो महासागरों को जोड़ती है?,प्रशांत और अटलांटिक,प्रशांत और हिंद,अटलांटिक और हिंद,आर्कटिक और अटलांटिक,A,Geography
स्वेज नहर किन दो सागरों को जोड़ती है?,भूमध्य सागर और लाल सागर,भूमध्य सागर और काला सागर,लाल सागर और अरब सागर,काला सागर और कैस्पियन सागर,A,Geography
कील नहर किन दो सागरों को जोड़ती है?,उत्तरी सागर और बाल्टिक सागर,उत्तरी सागर और भूमध्य सागर,बाल्टिक सागर और काला सागर,लाल सागर और भूमध्य सागर,A,Geography
पृथ्वी का एकमात्र प्राकृतिक उपग्रह कौन सा है?,फोबोस,डीमोस,चंद्रमा,टाइटान,C,Geography
सौरमंडल का सबसे बड़ा ग्रह कौन सा है?,शनि,बृहस्पति (Jupiter),अरुण,वरुण,B,Geography
सौरमंडल का सबसे छोटा ग्रह कौन सा है?,मंगल,बुध (Mercury),शुक्र,प्लेटो,B,Geography
सूर्य के सबसे निकट ग्रह कौन सा है?,शुक्र,बुध,पृथ्वी,मंगल,B,Geography
पृथ्वी के सबसे निकट ग्रह कौन सा है?,मंगल,बुध,शुक्र (Venus),बृहस्पति,C,Geography
सौरमंडल का सबसे चमकीला ग्रह कौन सा है?,बुध,बृहस्पति,शुक्र,शनि,C,Geography
लाल ग्रह किसे कहा जाता है?,मंगल (Mars),बुध,शुक्र,बृहस्पति,A,Geography
नीला ग्रह किसे कहा जाता है?,शुक्र,पृथ्वी,वरुण,शनि,B,Geography
किस ग्रह के चारों ओर वलय (Rings) पाए जाते हैं?,बृहस्पति,शनि (Saturn),अरुण,वरुण,B,Geography
भोर का तारा या सांझ का तारा किसे कहा जाता है?,बुध,शुक्र,मंगल,बृहस्पति,B,Geography
पृथ्वी की जुड़वा बहन किसे कहा जाता है?,मंगल,शुक्र,बुध,अरुण,B,Geography
सूर्य की ऊर्जा का मुख्य स्रोत क्या है?,नाभिकीय विखंडन,नाभिकीय संलयन,रासायनिक दहन,गुरुत्वाकर्षण संकुचन,B,Geography
सूर्य के प्रकाश को पृथ्वी तक पहुँचने में कितना समय लगता है?,8 सेकंड,8 मिनट 16 सेकंड,8 घंटे,16 मिनट,B,Geography
ओजोन परत किस मंडल में पाई जाती है?,क्षोभ मंडल,समताप मंडल,मध्य मंडल,आयन मंडल,B,Geography
वायुमंडल में सर्वाधिक गैस कौन सी पाई जाती है?,ऑक्सीजन,कार्बन डाइऑक्साइड,नाइट्रोजन (78%),ऑर्गन,C,Geography
मौसम संबंधी सभी घटनाएँ किस मंडल में होती हैं?,क्षोभ मंडल (Troposphere),समताप मंडल,आयन मंडल,बाह्य मंडल,A,Geography
विश्व पर्यावरण दिवस कब मनाया जाता है?,5 जून,11 जुलाई,16 सितंबर,22 अप्रैल,A,Environment
ओजोन परत संरक्षण दिवस कब मनाया जाता है?,5 जून,16 सितंबर,22 मार्च,22 अप्रैल,B,Environment
पृथ्वी दिवस कब मनाया जाता है?,22 मार्च,22 अप्रैल,22 मई,5 जून,B,Environment
जल दिवस कब मनाया जाता है?,22 मार्च,22 अप्रैल,22 मई,5 जून,A,Environment
विश्व जैव विविधता दिवस (Biodiversity Day) कब मनाया जाता है?,22 मार्च,22 अप्रैल,22 मई,5 जून,C,Environment
वन महोत्सव के जनक कौन हैं?,सुंदरलाल बहुगुणा,के.एम. मुंशी,मेधा पाटकर,एम.एस. स्वामीनाथन,B,Environment
चिपको आंदोलन किससे संबंधित है?,जल संरक्षण,वन संरक्षण (पेड़ों की कटाई रोकना),मृदा संरक्षण,वन्यजीव संरक्षण,B,Environment
चिपको आंदोलन के प्रमुख नेता कौन थे?,के.एम. मुंशी,सुंदरलाल बहुगुणा,मेधा पाटकर,बाबा आम्टे,B,Environment
नर्मदा बचाओ आंदोलन से कौन संबंधित है?,सुंदरलाल बहुगुणा,मेधा पाटकर,बाबा आम्टे,उपरोक्त दोनों (B और C),D,Environment
क्योटो प्रोटोकॉल (Kyoto Protocol) किससे संबंधित है?,ओजोन क्षरण,ग्रीनहाउस गैस उत्सर्जन (जलवायु परिवर्तन),जैव विविधता,आर्द्रभूमि,B,Environment
मॉन्ट्रियल प्रोटोकॉल (Montreal Protocol) किससे संबंधित है?,ग्रीनहाउस गैस,ओजोन परत संरक्षण,परमाणु हथियार,समुद्री प्रदूषण,B,Environment
रामसर सम्मेलन (Ramsar Convention) किससे संबंधित है?,वन संरक्षण,आर्द्रभूमि (Wetlands) संरक्षण,ओजोन संरक्षण,बाघ संरक्षण,B,Environment
प्रोजेक्ट टाइगर (Project Tiger) भारत में कब शुरू हुआ?,1972,1973,1992,1975,B,Environment
प्रोजेक्ट एलीफेंट (Project Elephant) कब शुरू हुआ?,1973,1992,2002,1985,B,Environment
भारत का राष्ट्रीय जलीय जीव कौन सा है?,मगरमच्छ,गंगा डॉल्फिन,कछुआ,नीली व्हेल,B,Environment
रेड डेटा बुक (Red Data Book) कौन जारी करता है?,UNEP,WWF,IUCN,UNESCO,C,Environment
रेड डेटा बुक किससे संबंधित है?,प्रदूषित नदियों से,लुप्तप्राय (संकटग्रस्त) जीवों से,वन क्षेत्र से,ग्लोबल वार्मिंग से,B,Environment
लाइकेन (Lichen) किसके अच्छे सूचक होते हैं?,जल प्रदूषण,वायु प्रदूषण (खासकर SO2),मृदा प्रदूषण,ध्वनि प्रदूषण,B,Environment
ग्रीनहाउस प्रभाव के लिए मुख्य उत्तरदायी गैस कौन सी है?,CO2,SO2,NO2,CFC,A,Environment
अम्ल वर्षा (Acid Rain) किन गैसों के कारण होती है?,CO2 और CO,SO2 और NO2,CH4 और NH3,CFC और O3,B,Environment
भोपाल गैस त्रासदी (1984) में किस गैस का रिसाव हुआ था?,मिथाइल आइसोसाइनेट (MIC),कार्बन मोनोऑक्साइड,सल्फर डाइऑक्साइड,क्लोरीन,A,Environment
मिनीमाता रोग किसके कारण होता है?,सीसा (Lead),पारा (Mercury),कैडमियम,आर्सेनिक,B,Environment
इटाई-इटाई रोग किसके कारण होता है?,पारा,कैडमियम (Cadmium),सीसा,आर्सेनिक,B,Environment
ब्लू बेबी सिंड्रोम जल में किसकी अधिकता से होता है?,फ्लोराइड,आर्सेनिक,नाइट्रेट,पारा,C,Environment
फ्लोराइड की अधिकता से शरीर का कौन सा अंग प्रभावित होता है?,यकृत,दांत और हड्डियाँ,मस्तिष्क,गुर्दा,B,Environment
भारत में किस प्रकार की अर्थव्यवस्था है?,पूंजीवादी,समाजवादी,मिश्रित (Mixed),साम्यवादी,C,Economy
भारत में राष्ट्रीय आय (National Income) की गणना कौन करता है?,RBI,नीति आयोग,केंद्रीय सांख्यिकी कार्यालय (CSO),वित्त मंत्रालय,C,Economy
भारत में राष्ट्रीय आय का सबसे पहला अनुमान किसने लगाया था?,महालनोबिस,दादाभाई नौरोजी,वी.के.आर.वी. राव,सरदार पटेल,B,Economy
योजना आयोग (Planning Commission) की स्थापना कब हुई थी?,1947,1950,1951,1952,B,Economy
योजना आयोग के स्थान पर 'नीति आयोग' कब बनाया गया?,1 जनवरी 2014,1 जनवरी 2015,15 अगस्त 2014,26 जनवरी 2015,B,Economy
नीति (NITI) आयोग का पूर्ण रूप क्या है?,National Institute for Transforming India,National Institution for Transforming India,New India Transformation Institute,None of these,B,Economy
भारत में पंचवर्षीय योजना का मॉडल किस देश से लिया गया था?,अमेरिका,रूस (USSR),ब्रिटेन,जर्मनी,B,Economy
प्रथम पंचवर्षीय योजना किस मॉडल पर आधारित थी?,महाल नोबिस मॉडल,हेराल्ड डोमर मॉडल,गांधीवादी मॉडल,चौकन्ना मॉडल,B,Economy
द्वितीय पंचवर्षीय योजना किस मॉडल पर आधारित थी?,हेराल्ड डोमर,पी.सी. महालनोबिस,डी.पी. धर,जॉन मुलर,B,Economy
'गरीबी हटाओ' का नारा किस पंचवर्षीय योजना में दिया गया था?,तीसरी,चौथी,पांचवीं,छठी,C,Economy
भारत में हरित क्रांति (Green Revolution) की शुरुआत कब हुई?,1950-51,1966-67,1975-76,1980-81,B,Economy
भारतीय रिजर्व बैंक (RBI) की स्थापना कब हुई?,1935,1947,1949,1955,A,Economy
RBI का राष्ट्रीयकरण (Nationalization) कब हुआ?,1935,1947,1949,1969,C,Economy
₹1 के नोट पर किसके हस्ताक्षर होते हैं?,RBI गवर्नर,वित्त मंत्री,वित्त सचिव (Finance Secretary),प्रधानमंत्री,C,Economy
₹1 को छोड़कर बाकी सभी नोटों पर किसके हस्ताक्षर होते हैं?,वित्त सचिव,RBI गवर्नर,वित्त मंत्री,राष्ट्रपति,B,Economy
भारत में 14 बड़े वाणिज्यिक बैंकों का राष्ट्रीयकरण कब हुआ था?,1949,1969,1980,1991,B,Economy
NABARD (नाबार्ड) की स्थापना कब हुई थी?,1980,1982,1990,1992,B,Economy
नाबार्ड (NABARD) मुख्य रूप से किससे संबंधित है?,उद्योग,कृषि एवं ग्रामीण विकास,विदेशी व्यापार,शेयर बाजार,B,Economy
SEBI (सेबी) का मुख्य कार्य क्या है?,बैंकिंग नियंत्रण,शेयर बाजार का नियंत्रण,कृषि ऋण,बीमा नियंत्रण,B,Economy
BSE (बॉम्बे स्टॉक एक्सचेंज) की स्थापना कब हुई थी?,1875,1992,1905,1950,A,Economy
भारत में GST (वस्तु एवं सेवा कर) कब लागू हुआ?,1 जुलाई 2016,1 जुलाई 2017,1 अप्रैल 2017,1 जनवरी 2018,B,Economy
GST किस प्रकार का कर (Tax) है?,प्रत्यक्ष कर (Direct Tax),अप्रत्यक्ष कर (Indirect Tax),आयकर,निगम कर,B,Economy
आयकर (Income Tax) किस प्रकार का कर है?,अप्रत्यक्ष कर,प्रत्यक्ष कर (Direct Tax),उपभोक्ता कर,बिक्री कर,B,Economy
